id,russian,ukrainian,category,gdelt_ratio,trends_ratio,ngrams_ratio,gdelt_crossover,trends_crossover,status
1,Kiev,Kyiv,geographical,0.40586183095259487,,0.32587819057878364,2022-02-21,,Emerging
2,Kharkov,Kharkiv,geographical,0.998097516831982,,0.33451450512286696,2014-12-29,,Adopted
3,Odessa,Odesa,geographical,0.21838885077373843,0.07465282752514339,0.037401816693689034,,,Resistant
4,Lvov,Lviv,geographical,0.9927978468277899,0.9678545962650065,0.5853710120597144,2015-01-05,2015-01-01,Adopted
5,Zaporozhye,Zaporizhzhia,geographical,0.0,0.939661530841722,0.32711508071476236,,2022-04-01,Emerging
6,Nikolaev,Mykolaiv,geographical,0.18160377563129645,0.613458552317248,0.0977945463336829,,2022-04-01,Emerging
7,Dnepropetrovsk,Dnipro,geographical,1.0,0.9678030303030303,0.5655679666601363,2015-01-05,2015-01-01,Adopted
8,Vinnitsa,Vinnytsia,geographical,0.0,0.8608706966982922,0.446653005698341,,2021-12-01,Emerging
9,Rovno,Rivne,geographical,0.998022943235809,0.8824148286128293,0.493139617600605,2014-12-29,2015-01-01,Adopted
10,Chernobyl,Chornobyl,geographical,1.0,0.0,0.03060193172157421,2015-03-02,,Crossing
11,Lugansk,Luhansk,geographical,0.764687971722817,0.852298742923743,0.7350433586357119,2014-12-29,2016-10-01,Adopted
15,Dnieper,Dnipro,geographical,0.9923299974812382,0.8578869047619048,0.161566645126892,2015-01-05,2015-01-01,Adopted
16,Dniester,Dnister,geographical,1.0,0.3951112078184982,0.014775953083649335,2015-10-19,2015-01-01,Crossing
17,Donbass,Donbas,geographical,0.6182128576422982,0.5899592731829574,0.5674694916853953,2014-12-29,2025-09-01,Crossing
18,Crimea,Krym,geographical,0.5656120602034167,0.09105905059852429,0.008745780690961547,2015-01-05,,Emerging
19,Transcarpathia,Zakarpattia,geographical,0.0,0.7812310885101508,0.204605132210179,,2015-01-01,Emerging
20,Podolia,Podillia,geographical,0.0,0.16966239222589202,0.05663140879831904,,,Resistant
21,Chicken Kiev,Chicken Kyiv,food,,0.13498554118837136,0.010459164912314368,,,Resistant
22,Kiev cake,Kyiv cake,food,,0.6982279721152306,0.0,,2024-01-01,Crossing
23,Borscht,Borshch,food,0.9405906593406594,0.005025502550255026,0.07059895917445516,2015-02-16,,Emerging
24,Kiev Pechersk Lavra,Kyiv Pechersk Lavra,landmarks,,0.8458562271062271,0.0,,2025-01-01,Adopted
25,Saint Sophia Cathedral Kiev,Saint Sophia Cathedral Kyiv,landmarks,,0.980952380952381,,,2025-10-01,Adopted
26,Chernobyl Exclusion Zone,Chornobyl Exclusion Zone,landmarks,,0.01048951048951049,0.0,,,Resistant
27,the Ukraine,Ukraine,country,1.0,0.8930961399711399,0.9214200855613209,2015-02-16,2015-01-01,Adopted
28,Kiev National University,Kyiv National University,institutional,,0.9243436644933758,0.6912393192439561,,2015-01-01,Adopted
29,Kharkov University,Kharkiv University,institutional,,0.9442129084897211,0.1256737559763212,,2015-01-01,Adopted
30,Kiev Polytechnic,Kyiv Polytechnic,institutional,,0.9509166820022084,0.7855839475715801,,2016-11-01,Adopted
31,Kiev Patriarchate,Kyiv Patriarchate,institutional,,0.8331204767986377,0.7268476101554824,,,Adopted
32,Dynamo Kiev,Dynamo Kyiv,sports,1.0,0.6572916666666666,0.45002505141150007,,2021-10-01,Adopted
34,Kiev ballet,Kyiv ballet,sports,,0.43552521101385516,0.0,,,Emerging
35,Kievan Rus,Kyivan Rus,historical,,0.0919948531387794,0.12255679791766157,,,Resistant
36,Cossack,Kozak,historical,0.9490987460815048,0.6000646655347057,0.21181375075524836,2015-03-02,2015-01-01,Crossing
37,Little Russia,Ukraine,historical,1.0,1.0,0.9962990505287947,2015-02-16,2015-01-01,Adopted
