pair_id,category,russian_term,ukrainian_term,year,russian_count,ukrainian_count,total,adoption_ratio
1,geographical,Kiev,Kyiv,2000,0,9,9,1.0
1,geographical,Kiev,Kyiv,2001,0,5,5,1.0
1,geographical,Kiev,Kyiv,2002,34,10,44,0.2273
1,geographical,Kiev,Kyiv,2003,50,13,63,0.2063
1,geographical,Kiev,Kyiv,2004,0,16,16,1.0
1,geographical,Kiev,Kyiv,2005,0,25,25,1.0
1,geographical,Kiev,Kyiv,2006,38,17,55,0.3091
1,geographical,Kiev,Kyiv,2007,37,18,55,0.3273
1,geographical,Kiev,Kyiv,2008,44,25,69,0.3623
1,geographical,Kiev,Kyiv,2009,46,23,69,0.3333
1,geographical,Kiev,Kyiv,2010,46,38,84,0.4524
1,geographical,Kiev,Kyiv,2011,54,38,92,0.413
1,geographical,Kiev,Kyiv,2012,47,59,106,0.5566
1,geographical,Kiev,Kyiv,2013,71,64,135,0.4741
1,geographical,Kiev,Kyiv,2014,111,118,229,0.5153
1,geographical,Kiev,Kyiv,2015,80,116,196,0.5918
1,geographical,Kiev,Kyiv,2016,137,172,309,0.5566
1,geographical,Kiev,Kyiv,2017,114,189,303,0.6238
1,geographical,Kiev,Kyiv,2018,93,248,341,0.7273
1,geographical,Kiev,Kyiv,2019,136,368,504,0.7302
1,geographical,Kiev,Kyiv,2020,185,358,543,0.6593
1,geographical,Kiev,Kyiv,2021,95,455,550,0.8273
1,geographical,Kiev,Kyiv,2022,61,438,499,0.8778
1,geographical,Kiev,Kyiv,2023,58,485,543,0.8932
1,geographical,Kiev,Kyiv,2024,39,492,531,0.9266
1,geographical,Kiev,Kyiv,2025,37,711,748,0.9505
1,geographical,Kiev,Kyiv,2026,0,73,73,1.0
2,geographical,Kharkov,Kharkiv,2000,7,3,10,0.3
2,geographical,Kharkov,Kharkiv,2001,10,5,15,0.3333
2,geographical,Kharkov,Kharkiv,2002,13,5,18,0.2778
2,geographical,Kharkov,Kharkiv,2003,8,3,11,0.2727
2,geographical,Kharkov,Kharkiv,2004,14,5,19,0.2632
2,geographical,Kharkov,Kharkiv,2005,9,7,16,0.4375
2,geographical,Kharkov,Kharkiv,2006,6,8,14,0.5714
2,geographical,Kharkov,Kharkiv,2007,13,16,29,0.5517
2,geographical,Kharkov,Kharkiv,2008,17,7,24,0.2917
2,geographical,Kharkov,Kharkiv,2009,11,21,32,0.6562
2,geographical,Kharkov,Kharkiv,2010,17,18,35,0.5143
2,geographical,Kharkov,Kharkiv,2011,11,21,32,0.6562
2,geographical,Kharkov,Kharkiv,2012,16,29,45,0.6444
2,geographical,Kharkov,Kharkiv,2013,23,43,66,0.6515
2,geographical,Kharkov,Kharkiv,2014,24,47,71,0.662
2,geographical,Kharkov,Kharkiv,2015,22,49,71,0.6901
2,geographical,Kharkov,Kharkiv,2016,15,84,99,0.8485
2,geographical,Kharkov,Kharkiv,2017,36,86,122,0.7049
2,geographical,Kharkov,Kharkiv,2018,43,154,197,0.7817
2,geographical,Kharkov,Kharkiv,2019,43,211,254,0.8307
2,geographical,Kharkov,Kharkiv,2020,22,222,244,0.9098
2,geographical,Kharkov,Kharkiv,2021,29,221,250,0.884
2,geographical,Kharkov,Kharkiv,2022,28,176,204,0.8627
2,geographical,Kharkov,Kharkiv,2023,12,211,223,0.9462
2,geographical,Kharkov,Kharkiv,2024,11,230,241,0.9544
2,geographical,Kharkov,Kharkiv,2025,7,259,266,0.9737
2,geographical,Kharkov,Kharkiv,2026,0,39,39,1.0
3,geographical,Odessa,Odesa,2000,15,1,16,0.0625
3,geographical,Odessa,Odesa,2001,22,1,23,0.0435
3,geographical,Odessa,Odesa,2002,20,1,21,0.0476
3,geographical,Odessa,Odesa,2003,27,0,27,0.0
3,geographical,Odessa,Odesa,2004,20,0,20,0.0
3,geographical,Odessa,Odesa,2005,29,1,30,0.0333
3,geographical,Odessa,Odesa,2006,45,3,48,0.0625
3,geographical,Odessa,Odesa,2007,46,8,54,0.1481
3,geographical,Odessa,Odesa,2008,52,5,57,0.0877
3,geographical,Odessa,Odesa,2009,37,2,39,0.0513
3,geographical,Odessa,Odesa,2010,53,2,55,0.0364
3,geographical,Odessa,Odesa,2011,39,2,41,0.0488
3,geographical,Odessa,Odesa,2012,39,1,40,0.025
3,geographical,Odessa,Odesa,2013,59,4,63,0.0635
3,geographical,Odessa,Odesa,2014,57,9,66,0.1364
3,geographical,Odessa,Odesa,2015,85,24,109,0.2202
3,geographical,Odessa,Odesa,2016,103,12,115,0.1043
3,geographical,Odessa,Odesa,2017,131,24,155,0.1548
3,geographical,Odessa,Odesa,2018,156,49,205,0.239
3,geographical,Odessa,Odesa,2019,199,52,251,0.2072
3,geographical,Odessa,Odesa,2020,162,45,207,0.2174
3,geographical,Odessa,Odesa,2021,126,49,175,0.28
3,geographical,Odessa,Odesa,2022,86,89,175,0.5086
3,geographical,Odessa,Odesa,2023,91,126,217,0.5806
3,geographical,Odessa,Odesa,2024,41,117,158,0.7405
3,geographical,Odessa,Odesa,2025,77,129,206,0.6262
3,geographical,Odessa,Odesa,2026,17,10,27,0.3704
4,geographical,Lvov,Lviv,2000,6,8,14,0.5714
4,geographical,Lvov,Lviv,2001,0,11,11,1.0
4,geographical,Lvov,Lviv,2002,6,4,10,0.4
4,geographical,Lvov,Lviv,2003,0,18,18,1.0
4,geographical,Lvov,Lviv,2004,4,13,17,0.7647
4,geographical,Lvov,Lviv,2005,10,11,21,0.5238
4,geographical,Lvov,Lviv,2006,13,12,25,0.48
4,geographical,Lvov,Lviv,2007,14,16,30,0.5333
4,geographical,Lvov,Lviv,2008,11,24,35,0.6857
4,geographical,Lvov,Lviv,2009,14,40,54,0.7407
4,geographical,Lvov,Lviv,2010,11,34,45,0.7556
4,geographical,Lvov,Lviv,2011,11,45,56,0.8036
4,geographical,Lvov,Lviv,2012,9,60,69,0.8696
4,geographical,Lvov,Lviv,2013,5,107,112,0.9554
4,geographical,Lvov,Lviv,2014,37,100,137,0.7299
4,geographical,Lvov,Lviv,2015,12,90,102,0.8824
4,geographical,Lvov,Lviv,2016,25,161,186,0.8656
4,geographical,Lvov,Lviv,2017,27,170,197,0.8629
4,geographical,Lvov,Lviv,2018,11,231,242,0.9545
4,geographical,Lvov,Lviv,2019,21,307,328,0.936
4,geographical,Lvov,Lviv,2020,27,296,323,0.9164
4,geographical,Lvov,Lviv,2021,23,320,343,0.9329
4,geographical,Lvov,Lviv,2022,22,354,376,0.9415
4,geographical,Lvov,Lviv,2023,12,273,285,0.9579
4,geographical,Lvov,Lviv,2024,8,316,324,0.9753
4,geographical,Lvov,Lviv,2025,7,328,335,0.9791
4,geographical,Lvov,Lviv,2026,0,30,30,1.0
5,geographical,Zaporozhye,Zaporizhzhia,2001,1,0,1,0.0
5,geographical,Zaporozhye,Zaporizhzhia,2002,2,0,2,0.0
5,geographical,Zaporozhye,Zaporizhzhia,2003,1,0,1,0.0
5,geographical,Zaporozhye,Zaporizhzhia,2004,2,0,2,0.0
5,geographical,Zaporozhye,Zaporizhzhia,2005,1,1,2,0.5
5,geographical,Zaporozhye,Zaporizhzhia,2009,1,0,1,0.0
5,geographical,Zaporozhye,Zaporizhzhia,2010,2,0,2,0.0
5,geographical,Zaporozhye,Zaporizhzhia,2011,1,0,1,0.0
5,geographical,Zaporozhye,Zaporizhzhia,2012,4,0,4,0.0
5,geographical,Zaporozhye,Zaporizhzhia,2013,6,2,8,0.25
5,geographical,Zaporozhye,Zaporizhzhia,2014,1,1,2,0.5
5,geographical,Zaporozhye,Zaporizhzhia,2015,3,3,6,0.5
