date,article,views,label,variant
2024-01-01,Kiev,243,Russian-derived search,russian
2024-01-02,Kiev,258,Russian-derived search,russian
2024-01-03,Kiev,268,Russian-derived search,russian
2024-01-04,Kiev,226,Russian-derived search,russian
2024-01-05,Kiev,282,Russian-derived search,russian
2024-01-06,Kiev,222,Russian-derived search,russian
2024-01-07,Kiev,229,Russian-derived search,russian
2024-01-08,Kiev,238,Russian-derived search,russian
2024-01-09,Kiev,256,Russian-derived search,russian
2024-01-10,Kiev,254,Russian-derived search,russian
2024-01-11,Kiev,266,Russian-derived search,russian
2024-01-12,Kiev,238,Russian-derived search,russian
2024-01-13,Kiev,229,Russian-derived search,russian
2024-01-14,Kiev,253,Russian-derived search,russian
2024-01-15,Kiev,243,Russian-derived search,russian
2024-01-16,Kiev,257,Russian-derived search,russian
2024-01-17,Kiev,258,Russian-derived search,russian
2024-01-18,Kiev,244,Russian-derived search,russian
2024-01-19,Kiev,207,Russian-derived search,russian
2024-01-20,Kiev,260,Russian-derived search,russian
2024-01-21,Kiev,253,Russian-derived search,russian
2024-01-22,Kiev,290,Russian-derived search,russian
2024-01-23,Kiev,262,Russian-derived search,russian
2024-01-24,Kiev,276,Russian-derived search,russian
2024-01-25,Kiev,255,Russian-derived search,russian
2024-01-26,Kiev,220,Russian-derived search,russian
2024-01-27,Kiev,267,Russian-derived search,russian
2024-01-28,Kiev,274,Russian-derived search,russian
2024-01-29,Kiev,257,Russian-derived search,russian
2024-01-30,Kiev,260,Russian-derived search,russian
2024-01-31,Kiev,257,Russian-derived search,russian
2024-02-01,Kiev,254,Russian-derived search,russian
2024-02-02,Kiev,252,Russian-derived search,russian
2024-02-03,Kiev,301,Russian-derived search,russian
2024-02-04,Kiev,289,Russian-derived search,russian
2024-02-05,Kiev,271,Russian-derived search,russian
2024-02-06,Kiev,261,Russian-derived search,russian
2024-02-07,Kiev,263,Russian-derived search,russian
2024-02-08,Kiev,344,Russian-derived search,russian
2024-02-09,Kiev,885,Russian-derived search,russian
2024-02-10,Kiev,594,Russian-derived search,russian
2024-02-11,Kiev,458,Russian-derived search,russian
2024-02-12,Kiev,433,Russian-derived search,russian
2024-02-13,Kiev,439,Russian-derived search,russian
2024-02-14,Kiev,357,Russian-derived search,russian
2024-02-15,Kiev,428,Russian-derived search,russian
2024-02-16,Kiev,600,Russian-derived search,russian
2024-02-17,Kiev,589,Russian-derived search,russian
2024-02-18,Kiev,515,Russian-derived search,russian
2024-02-19,Kiev,478,Russian-derived search,russian
2024-02-20,Kiev,427,Russian-derived search,russian
2024-02-21,Kiev,463,Russian-derived search,russian
2024-02-22,Kiev,457,Russian-derived search,russian
2024-02-23,Kiev,418,Russian-derived search,russian
2024-02-24,Kiev,381,Russian-derived search,russian
2024-02-25,Kiev,357,Russian-derived search,russian
2024-02-26,Kiev,372,Russian-derived search,russian
2024-02-27,Kiev,380,Russian-derived search,russian
2024-02-28,Kiev,337,Russian-derived search,russian
2024-02-29,Kiev,320,Russian-derived search,russian
2024-03-01,Kiev,317,Russian-derived search,russian
2024-03-02,Kiev,318,Russian-derived search,russian
2024-03-03,Kiev,314,Russian-derived search,russian
2024-03-04,Kiev,234,Russian-derived search,russian
2024-03-05,Kiev,255,Russian-derived search,russian
2024-03-06,Kiev,308,Russian-derived search,russian
2024-03-07,Kiev,261,Russian-derived search,russian
2024-03-08,Kiev,250,Russian-derived search,russian
2024-03-09,Kiev,254,Russian-derived search,russian
2024-03-10,Kiev,252,Russian-derived search,russian
2024-03-11,Kiev,253,Russian-derived search,russian
2024-03-12,Kiev,232,Russian-derived search,russian
2024-03-13,Kiev,276,Russian-derived search,russian
2024-03-14,Kiev,258,Russian-derived search,russian
2024-03-15,Kiev,260,Russian-derived search,russian
2024-03-16,Kiev,272,Russian-derived search,russian
2024-03-17,Kiev,255,Russian-derived search,russian
2024-03-18,Kiev,254,Russian-derived search,russian
2024-03-19,Kiev,287,Russian-derived search,russian
2024-03-20,Kiev,230,Russian-derived search,russian
2024-03-21,Kiev,251,Russian-derived search,russian
2024-03-22,Kiev,241,Russian-derived search,russian
2024-03-23,Kiev,275,Russian-derived search,russian
2024-03-24,Kiev,293,Russian-derived search,russian
2024-03-25,Kiev,263,Russian-derived search,russian
2024-03-26,Kiev,725,Russian-derived search,russian
2024-03-27,Kiev,1560,Russian-derived search,russian
2024-03-28,Kiev,252,Russian-derived search,russian
2024-03-29,Kiev,223,Russian-derived search,russian
2024-03-30,Kiev,238,Russian-derived search,russian
2024-03-31,Kiev,287,Russian-derived search,russian
2024-04-01,Kiev,256,Russian-derived search,russian
2024-04-02,Kiev,288,Russian-derived search,russian
2024-04-03,Kiev,261,Russian-derived search,russian
2024-04-04,Kiev,245,Russian-derived search,russian
2024-04-05,Kiev,280,Russian-derived search,russian
2024-04-06,Kiev,274,Russian-derived search,russian
2024-04-07,Kiev,272,Russian-derived search,russian
2024-04-08,Kiev,248,Russian-derived search,russian
2024-04-09,Kiev,223,Russian-derived search,russian
2024-04-10,Kiev,264,Russian-derived search,russian
