date,article,views,label,variant
2024-01-01,Kyiv,2675,Ukrainian-derived search,ukrainian
2024-01-02,Kyiv,4270,Ukrainian-derived search,ukrainian
2024-01-03,Kyiv,3826,Ukrainian-derived search,ukrainian
2024-01-04,Kyiv,3045,Ukrainian-derived search,ukrainian
2024-01-05,Kyiv,2895,Ukrainian-derived search,ukrainian
2024-01-06,Kyiv,2720,Ukrainian-derived search,ukrainian
2024-01-07,Kyiv,3192,Ukrainian-derived search,ukrainian
2024-01-08,Kyiv,3121,Ukrainian-derived search,ukrainian
2024-01-09,Kyiv,3452,Ukrainian-derived search,ukrainian
2024-01-10,Kyiv,3296,Ukrainian-derived search,ukrainian
2024-01-11,Kyiv,3282,Ukrainian-derived search,ukrainian
2024-01-12,Kyiv,3441,Ukrainian-derived search,ukrainian
2024-01-13,Kyiv,2966,Ukrainian-derived search,ukrainian
2024-01-14,Kyiv,3044,Ukrainian-derived search,ukrainian
2024-01-15,Kyiv,4005,Ukrainian-derived search,ukrainian
2024-01-16,Kyiv,3481,Ukrainian-derived search,ukrainian
2024-01-17,Kyiv,3762,Ukrainian-derived search,ukrainian
2024-01-18,Kyiv,3465,Ukrainian-derived search,ukrainian
2024-01-19,Kyiv,3584,Ukrainian-derived search,ukrainian
2024-01-20,Kyiv,2909,Ukrainian-derived search,ukrainian
2024-01-21,Kyiv,3346,Ukrainian-derived search,ukrainian
2024-01-22,Kyiv,3662,Ukrainian-derived search,ukrainian
2024-01-23,Kyiv,4292,Ukrainian-derived search,ukrainian
2024-01-24,Kyiv,3939,Ukrainian-derived search,ukrainian
2024-01-25,Kyiv,3665,Ukrainian-derived search,ukrainian
2024-01-26,Kyiv,3259,Ukrainian-derived search,ukrainian
2024-01-27,Kyiv,2813,Ukrainian-derived search,ukrainian
2024-01-28,Kyiv,3249,Ukrainian-derived search,ukrainian
2024-01-29,Kyiv,3559,Ukrainian-derived search,ukrainian
2024-01-30,Kyiv,3657,Ukrainian-derived search,ukrainian
2024-01-31,Kyiv,3554,Ukrainian-derived search,ukrainian
2024-02-01,Kyiv,2805,Ukrainian-derived search,ukrainian
2024-02-02,Kyiv,2645,Ukrainian-derived search,ukrainian
2024-02-03,Kyiv,2872,Ukrainian-derived search,ukrainian
2024-02-04,Kyiv,2741,Ukrainian-derived search,ukrainian
2024-02-05,Kyiv,2746,Ukrainian-derived search,ukrainian
2024-02-06,Kyiv,2590,Ukrainian-derived search,ukrainian
2024-02-07,Kyiv,2949,Ukrainian-derived search,ukrainian
2024-02-08,Kyiv,3174,Ukrainian-derived search,ukrainian
2024-02-09,Kyiv,4942,Ukrainian-derived search,ukrainian
2024-02-10,Kyiv,3769,Ukrainian-derived search,ukrainian
2024-02-11,Kyiv,3374,Ukrainian-derived search,ukrainian
2024-02-12,Kyiv,3286,Ukrainian-derived search,ukrainian
2024-02-13,Kyiv,3658,Ukrainian-derived search,ukrainian
2024-02-14,Kyiv,3619,Ukrainian-derived search,ukrainian
2024-02-15,Kyiv,3638,Ukrainian-derived search,ukrainian
2024-02-16,Kyiv,3585,Ukrainian-derived search,ukrainian
2024-02-17,Kyiv,3165,Ukrainian-derived search,ukrainian
2024-02-18,Kyiv,5430,Ukrainian-derived search,ukrainian
2024-02-19,Kyiv,3841,Ukrainian-derived search,ukrainian
2024-02-20,Kyiv,3913,Ukrainian-derived search,ukrainian
2024-02-21,Kyiv,3598,Ukrainian-derived search,ukrainian
2024-02-22,Kyiv,3867,Ukrainian-derived search,ukrainian
2024-02-23,Kyiv,3842,Ukrainian-derived search,ukrainian
2024-02-24,Kyiv,5128,Ukrainian-derived search,ukrainian
2024-02-25,Kyiv,4464,Ukrainian-derived search,ukrainian
2024-02-26,Kyiv,4268,Ukrainian-derived search,ukrainian
2024-02-27,Kyiv,3210,Ukrainian-derived search,ukrainian
2024-02-28,Kyiv,3668,Ukrainian-derived search,ukrainian
2024-02-29,Kyiv,3587,Ukrainian-derived search,ukrainian
2024-03-01,Kyiv,3401,Ukrainian-derived search,ukrainian
2024-03-02,Kyiv,3178,Ukrainian-derived search,ukrainian
2024-03-03,Kyiv,3246,Ukrainian-derived search,ukrainian
2024-03-04,Kyiv,3582,Ukrainian-derived search,ukrainian
2024-03-05,Kyiv,3064,Ukrainian-derived search,ukrainian
2024-03-06,Kyiv,3089,Ukrainian-derived search,ukrainian
2024-03-07,Kyiv,2767,Ukrainian-derived search,ukrainian
2024-03-08,Kyiv,3692,Ukrainian-derived search,ukrainian
2024-03-09,Kyiv,3076,Ukrainian-derived search,ukrainian
2024-03-10,Kyiv,3339,Ukrainian-derived search,ukrainian
2024-03-11,Kyiv,3661,Ukrainian-derived search,ukrainian
2024-03-12,Kyiv,3377,Ukrainian-derived search,ukrainian
2024-03-13,Kyiv,3457,Ukrainian-derived search,ukrainian
2024-03-14,Kyiv,2862,Ukrainian-derived search,ukrainian
2024-03-15,Kyiv,3246,Ukrainian-derived search,ukrainian
2024-03-16,Kyiv,2654,Ukrainian-derived search,ukrainian
2024-03-17,Kyiv,2926,Ukrainian-derived search,ukrainian
2024-03-18,Kyiv,3002,Ukrainian-derived search,ukrainian
2024-03-19,Kyiv,3562,Ukrainian-derived search,ukrainian
2024-03-20,Kyiv,2890,Ukrainian-derived search,ukrainian
