date,article,views,label,variant
2024-01-01,Odesa,1806,Ukrainian-derived,ukrainian
2024-01-02,Odesa,1613,Ukrainian-derived,ukrainian
2024-01-03,Odesa,1562,Ukrainian-derived,ukrainian
2024-01-04,Odesa,1546,Ukrainian-derived,ukrainian
2024-01-05,Odesa,1599,Ukrainian-derived,ukrainian
2024-01-06,Odesa,1449,Ukrainian-derived,ukrainian
2024-01-07,Odesa,1441,Ukrainian-derived,ukrainian
2024-01-08,Odesa,1546,Ukrainian-derived,ukrainian
2024-01-09,Odesa,1706,Ukrainian-derived,ukrainian
2024-01-10,Odesa,1696,Ukrainian-derived,ukrainian
2024-01-11,Odesa,1788,Ukrainian-derived,ukrainian
2024-01-12,Odesa,1614,Ukrainian-derived,ukrainian
2024-01-13,Odesa,1448,Ukrainian-derived,ukrainian
2024-01-14,Odesa,1483,Ukrainian-derived,ukrainian
2024-01-15,Odesa,1752,Ukrainian-derived,ukrainian
2024-01-16,Odesa,1759,Ukrainian-derived,ukrainian
2024-01-17,Odesa,1763,Ukrainian-derived,ukrainian
2024-01-18,Odesa,1751,Ukrainian-derived,ukrainian
2024-01-19,Odesa,1763,Ukrainian-derived,ukrainian
2024-01-20,Odesa,1709,Ukrainian-derived,ukrainian
2024-01-21,Odesa,1579,Ukrainian-derived,ukrainian
2024-01-22,Odesa,2313,Ukrainian-derived,ukrainian
2024-01-23,Odesa,1773,Ukrainian-derived,ukrainian
2024-01-24,Odesa,2302,Ukrainian-derived,ukrainian
2024-01-25,Odesa,2455,Ukrainian-derived,ukrainian
2024-01-26,Odesa,1719,Ukrainian-derived,ukrainian
2024-01-27,Odesa,1455,Ukrainian-derived,ukrainian
2024-01-28,Odesa,1677,Ukrainian-derived,ukrainian
2024-01-29,Odesa,1763,Ukrainian-derived,ukrainian
2024-01-30,Odesa,1867,Ukrainian-derived,ukrainian
2024-01-31,Odesa,1770,Ukrainian-derived,ukrainian
2024-02-01,Odesa,1498,Ukrainian-derived,ukrainian
2024-02-02,Odesa,1310,Ukrainian-derived,ukrainian
2024-02-03,Odesa,1313,Ukrainian-derived,ukrainian
2024-02-04,Odesa,2442,Ukrainian-derived,ukrainian
2024-02-05,Odesa,1776,Ukrainian-derived,ukrainian
2024-02-06,Odesa,1449,Ukrainian-derived,ukrainian
2024-02-07,Odesa,1434,Ukrainian-derived,ukrainian
2024-02-08,Odesa,1416,Ukrainian-derived,ukrainian
2024-02-09,Odesa,1591,Ukrainian-derived,ukrainian
2024-02-10,Odesa,1548,Ukrainian-derived,ukrainian
2024-02-11,Odesa,1458,Ukrainian-derived,ukrainian
2024-02-12,Odesa,1378,Ukrainian-derived,ukrainian
2024-02-13,Odesa,1453,Ukrainian-derived,ukrainian
2024-02-14,Odesa,1421,Ukrainian-derived,ukrainian
2024-02-15,Odesa,1556,Ukrainian-derived,ukrainian
2024-02-16,Odesa,1803,Ukrainian-derived,ukrainian
2024-02-17,Odesa,1698,Ukrainian-derived,ukrainian
2024-02-18,Odesa,1829,Ukrainian-derived,ukrainian
2024-02-19,Odesa,1684,Ukrainian-derived,ukrainian
2024-02-20,Odesa,1626,Ukrainian-derived,ukrainian
2024-02-21,Odesa,1535,Ukrainian-derived,ukrainian
2024-02-22,Odesa,2506,Ukrainian-derived,ukrainian
2024-02-23,Odesa,2177,Ukrainian-derived,ukrainian
2024-02-24,Odesa,2305,Ukrainian-derived,ukrainian
2024-02-25,Odesa,2044,Ukrainian-derived,ukrainian
2024-02-26,Odesa,1901,Ukrainian-derived,ukrainian
2024-02-27,Odesa,1596,Ukrainian-derived,ukrainian
2024-02-28,Odesa,1828,Ukrainian-derived,ukrainian
2024-02-29,Odesa,1920,Ukrainian-derived,ukrainian
2024-03-01,Odesa,1632,Ukrainian-derived,ukrainian
2024-03-02,Odesa,2471,Ukrainian-derived,ukrainian
2024-03-03,Odesa,2825,Ukrainian-derived,ukrainian
2024-03-04,Odesa,2218,Ukrainian-derived,ukrainian
2024-03-05,Odesa,1894,Ukrainian-derived,ukrainian
2024-03-06,Odesa,3726,Ukrainian-derived,ukrainian
2024-03-07,Odesa,2985,Ukrainian-derived,ukrainian
2024-03-08,Odesa,2127,Ukrainian-derived,ukrainian
2024-03-09,Odesa,2118,Ukrainian-derived,ukrainian
2024-03-10,Odesa,1822,Ukrainian-derived,ukrainian
2024-03-11,Odesa,1826,Ukrainian-derived,ukrainian
2024-03-12,Odesa,1809,Ukrainian-derived,ukrainian
2024-03-13,Odesa,1477,Ukrainian-derived,ukrainian
2024-03-14,Odesa,1686,Ukrainian-derived,ukrainian
2024-03-15,Odesa,3841,Ukrainian-derived,ukrainian
2024-03-16,Odesa,2770,Ukrainian-derived,ukrainian
2024-03-17,Odesa,2313,Ukrainian-derived,ukrainian
2024-03-18,Odesa,1902,Ukrainian-derived,ukrainian
2024-03-19,Odesa,1818,Ukrainian-derived,ukrainian
2024-03-20,Odesa,1774,Ukrainian-derived,ukrainian
2024-03-21,Odesa,1689,Ukrainian-derived,ukrainian
2024-03-22,Odesa,1610,Ukrainian-derived,ukrainian
2024-03-23,Odesa,1464,Ukrainian-derived,ukrainian
2024-03-24,Odesa,1754,Ukrainian-derived,ukrainian
2024-03-25,Odesa,1773,Ukrainian-derived,ukrainian
2024-03-26,Odesa,2503,Ukrainian-derived,ukrainian
2024-03-27,Odesa,1526,Ukrainian-derived,ukrainian
2024-03-28,Odesa,1687,Ukrainian-derived,ukrainian
2024-03-29,Odesa,1458,Ukrainian-derived,ukrainian
2024-03-30,Odesa,1564,Ukrainian-derived,ukrainian
2024-03-31,Odesa,2246,Ukrainian-derived,ukrainian
2024-04-01,Odesa,1773,Ukrainian-derived,ukrainian
2024-04-02,Odesa,1563,Ukrainian-derived,ukrainian
2024-04-03,Odesa,1422,Ukrainian-derived,ukrainian
2024-04-04,Odesa,1502,Ukrainian-derived,ukrainian
2024-04-05,Odesa,1486,Ukrainian-derived,ukrainian
2024-04-06,Odesa,1424,Ukrainian-derived,ukrainian
2024-04-07,Odesa,1393,Ukrainian-derived,ukrainian
2024-04-08,Odesa,1559,Ukrainian-derived,ukrainian
2024-04-09,Odesa,1360,Ukrainian-derived,ukrainian
2024-04-10,Odesa,1715,Ukrainian-derived,ukrainian
2024-04-11,Odesa,2108,Ukrainian-derived,ukrainian
2024-04-12,Odesa,1449,Ukrainian-derived,ukrainian
2024-04-13,Odesa,1264,Ukrainian-derived,ukrainian
2024-04-14,Odesa,1501,Ukrainian-derived,ukrainian
2024-04-15,Odesa,1609,Ukrainian-derived,ukrainian
2024-04-16,Odesa,1449,Ukrainian-derived,ukrainian
2024-04-17,Odesa,1401,Ukrainian-derived,ukrainian
