date,article,views,label,variant
2024-01-01,Odessa,211,Russian-derived,russian
2024-01-02,Odessa,242,Russian-derived,russian
2024-01-03,Odessa,282,Russian-derived,russian
2024-01-04,Odessa,247,Russian-derived,russian
2024-01-05,Odessa,228,Russian-derived,russian
2024-01-06,Odessa,258,Russian-derived,russian
2024-01-07,Odessa,253,Russian-derived,russian
2024-01-08,Odessa,235,Russian-derived,russian
2024-01-09,Odessa,238,Russian-derived,russian
2024-01-10,Odessa,267,Russian-derived,russian
2024-01-11,Odessa,222,Russian-derived,russian
2024-01-12,Odessa,217,Russian-derived,russian
2024-01-13,Odessa,269,Russian-derived,russian
2024-01-14,Odessa,228,Russian-derived,russian
2024-01-15,Odessa,213,Russian-derived,russian
2024-01-16,Odessa,231,Russian-derived,russian
2024-01-17,Odessa,202,Russian-derived,russian
2024-01-18,Odessa,249,Russian-derived,russian
2024-01-19,Odessa,264,Russian-derived,russian
2024-01-20,Odessa,255,Russian-derived,russian
2024-01-21,Odessa,216,Russian-derived,russian
2024-01-22,Odessa,219,Russian-derived,russian
2024-01-23,Odessa,197,Russian-derived,russian
2024-01-24,Odessa,233,Russian-derived,russian
2024-01-25,Odessa,199,Russian-derived,russian
2024-01-26,Odessa,235,Russian-derived,russian
2024-01-27,Odessa,225,Russian-derived,russian
2024-01-28,Odessa,224,Russian-derived,russian
2024-01-29,Odessa,237,Russian-derived,russian
2024-01-30,Odessa,250,Russian-derived,russian
2024-01-31,Odessa,236,Russian-derived,russian
2024-02-01,Odessa,239,Russian-derived,russian
2024-02-02,Odessa,230,Russian-derived,russian
2024-02-03,Odessa,222,Russian-derived,russian
2024-02-04,Odessa,261,Russian-derived,russian
2024-02-05,Odessa,263,Russian-derived,russian
2024-02-06,Odessa,240,Russian-derived,russian
2024-02-07,Odessa,264,Russian-derived,russian
2024-02-08,Odessa,217,Russian-derived,russian
2024-02-09,Odessa,191,Russian-derived,russian
2024-02-10,Odessa,258,Russian-derived,russian
2024-02-11,Odessa,247,Russian-derived,russian
2024-02-12,Odessa,233,Russian-derived,russian
2024-02-13,Odessa,259,Russian-derived,russian
2024-02-14,Odessa,219,Russian-derived,russian
2024-02-15,Odessa,256,Russian-derived,russian
2024-02-16,Odessa,432,Russian-derived,russian
2024-02-17,Odessa,291,Russian-derived,russian
2024-02-18,Odessa,325,Russian-derived,russian
2024-02-19,Odessa,288,Russian-derived,russian
2024-02-20,Odessa,277,Russian-derived,russian
2024-02-21,Odessa,324,Russian-derived,russian
2024-02-22,Odessa,323,Russian-derived,russian
2024-02-23,Odessa,308,Russian-derived,russian
2024-02-24,Odessa,267,Russian-derived,russian
2024-02-25,Odessa,272,Russian-derived,russian
2024-02-26,Odessa,305,Russian-derived,russian
2024-02-27,Odessa,254,Russian-derived,russian
2024-02-28,Odessa,275,Russian-derived,russian
2024-02-29,Odessa,249,Russian-derived,russian
2024-03-01,Odessa,285,Russian-derived,russian
2024-03-02,Odessa,261,Russian-derived,russian
2024-03-03,Odessa,254,Russian-derived,russian
2024-03-04,Odessa,253,Russian-derived,russian
2024-03-05,Odessa,291,Russian-derived,russian
2024-03-06,Odessa,281,Russian-derived,russian
2024-03-07,Odessa,268,Russian-derived,russian
2024-03-08,Odessa,266,Russian-derived,russian
2024-03-09,Odessa,244,Russian-derived,russian
2024-03-10,Odessa,299,Russian-derived,russian
2024-03-11,Odessa,244,Russian-derived,russian
2024-03-12,Odessa,259,Russian-derived,russian
2024-03-13,Odessa,239,Russian-derived,russian
2024-03-14,Odessa,257,Russian-derived,russian
2024-03-15,Odessa,300,Russian-derived,russian
2024-03-16,Odessa,226,Russian-derived,russian
2024-03-17,Odessa,268,Russian-derived,russian
2024-03-18,Odessa,252,Russian-derived,russian
2024-03-19,Odessa,267,Russian-derived,russian
2024-03-20,Odessa,250,Russian-derived,russian
2024-03-21,Odessa,242,Russian-derived,russian
2024-03-22,Odessa,228,Russian-derived,russian
2024-03-23,Odessa,241,Russian-derived,russian
2024-03-24,Odessa,294,Russian-derived,russian
2024-03-25,Odessa,259,Russian-derived,russian
2024-03-26,Odessa,1101,Russian-derived,russian
2024-03-27,Odessa,288,Russian-derived,russian
2024-03-28,Odessa,227,Russian-derived,russian
2024-03-29,Odessa,220,Russian-derived,russian
2024-03-30,Odessa,222,Russian-derived,russian
2024-03-31,Odessa,229,Russian-derived,russian
2024-04-01,Odessa,238,Russian-derived,russian
2024-04-02,Odessa,237,Russian-derived,russian
2024-04-03,Odessa,226,Russian-derived,russian
2024-04-04,Odessa,218,Russian-derived,russian
2024-04-05,Odessa,242,Russian-derived,russian
2024-04-06,Odessa,271,Russian-derived,russian
2024-04-07,Odessa,229,Russian-derived,russian
2024-04-08,Odessa,217,Russian-derived,russian
2024-04-09,Odessa,269,Russian-derived,russian
2024-04-10,Odessa,258,Russian-derived,russian
2024-04-11,Odessa,226,Russian-derived,russian
2024-04-12,Odessa,219,Russian-derived,russian
2024-04-13,Odessa,276,Russian-derived,russian
2024-04-14,Odessa,259,Russian-derived,russian
2024-04-15,Odessa,260,Russian-derived,russian
2024-04-16,Odessa,235,Russian-derived,russian
2024-04-17,Odessa,216,Russian-derived,russian
2024-04-18,Odessa,229,Russian-derived,russian
2024-04-19,Odessa,253,Russian-derived,russian
2024-04-20,Odessa,234,Russian-derived,russian
2024-04-21,Odessa,338,Russian-derived,russian
2024-04-22,Odessa,282,Russian-derived,russian
2024-04-23,Odessa,279,Russian-derived,russian
2024-04-24,Odessa,286,Russian-derived,russian
2024-04-25,Odessa,303,Russian-derived,russian
2024-04-26,Odessa,280,Russian-derived,russian
2024-04-27,Odessa,278,Russian-derived,russian
2024-04-28,Odessa,267,Russian-derived,russian
2024-04-29,Odessa,300,Russian-derived,russian
2024-04-30,Odessa,276,Russian-derived,russian
2024-05-01,Odessa,259,Russian-derived,russian
2024-05-02,Odessa,259,Russian-derived,russian
2024-05-03,Odessa,252,Russian-derived,russian
2024-05-04,Odessa,250,Russian-derived,russian
2024-05-05,Odessa,238,Russian-derived,russian
2024-05-06,Odessa,298,Russian-derived,russian
2024-05-07,Odessa,227,Russian-derived,russian
2024-05-08,Odessa,243,Russian-derived,russian
2024-05-09,Odessa,272,Russian-derived,russian
2024-05-10,Odessa,230,Russian-derived,russian
