date,article,views,label,variant
2024-01-01,Chernobyl,1531,Chernobyl (city),ukrainian
2024-01-02,Chernobyl,1226,Chernobyl (city),ukrainian
2024-01-03,Chernobyl,1276,Chernobyl (city),ukrainian
2024-01-04,Chernobyl,1298,Chernobyl (city),ukrainian
2024-01-05,Chernobyl,1218,Chernobyl (city),ukrainian
2024-01-06,Chernobyl,1292,Chernobyl (city),ukrainian
2024-01-07,Chernobyl,1339,Chernobyl (city),ukrainian
2024-01-08,Chernobyl,1268,Chernobyl (city),ukrainian
2024-01-09,Chernobyl,1375,Chernobyl (city),ukrainian
2024-01-10,Chernobyl,1299,Chernobyl (city),ukrainian
2024-01-11,Chernobyl,1216,Chernobyl (city),ukrainian
2024-01-12,Chernobyl,1179,Chernobyl (city),ukrainian
2024-01-13,Chernobyl,1197,Chernobyl (city),ukrainian
2024-01-14,Chernobyl,1398,Chernobyl (city),ukrainian
2024-01-15,Chernobyl,1215,Chernobyl (city),ukrainian
2024-01-16,Chernobyl,1462,Chernobyl (city),ukrainian
2024-01-17,Chernobyl,1492,Chernobyl (city),ukrainian
2024-01-18,Chernobyl,1373,Chernobyl (city),ukrainian
2024-01-19,Chernobyl,1234,Chernobyl (city),ukrainian
2024-01-20,Chernobyl,1259,Chernobyl (city),ukrainian
2024-01-21,Chernobyl,1426,Chernobyl (city),ukrainian
2024-01-22,Chernobyl,1475,Chernobyl (city),ukrainian
2024-01-23,Chernobyl,1475,Chernobyl (city),ukrainian
2024-01-24,Chernobyl,1521,Chernobyl (city),ukrainian
2024-01-25,Chernobyl,1376,Chernobyl (city),ukrainian
2024-01-26,Chernobyl,1400,Chernobyl (city),ukrainian
2024-01-27,Chernobyl,1127,Chernobyl (city),ukrainian
2024-01-28,Chernobyl,1413,Chernobyl (city),ukrainian
2024-01-29,Chernobyl,1599,Chernobyl (city),ukrainian
2024-01-30,Chernobyl,1369,Chernobyl (city),ukrainian
2024-01-31,Chernobyl,1279,Chernobyl (city),ukrainian
2024-02-01,Chernobyl,1191,Chernobyl (city),ukrainian
