date,article,views,label,variant
2024-01-01,Chernobyl_disaster,13225,Chernobyl (disaster),russian
2024-01-02,Chernobyl_disaster,14320,Chernobyl (disaster),russian
2024-01-03,Chernobyl_disaster,14198,Chernobyl (disaster),russian
2024-01-04,Chernobyl_disaster,13195,Chernobyl (disaster),russian
2024-01-05,Chernobyl_disaster,12628,Chernobyl (disaster),russian
2024-01-06,Chernobyl_disaster,12547,Chernobyl (disaster),russian
2024-01-07,Chernobyl_disaster,13111,Chernobyl (disaster),russian
2024-01-08,Chernobyl_disaster,13140,Chernobyl (disaster),russian
2024-01-09,Chernobyl_disaster,13156,Chernobyl (disaster),russian
2024-01-10,Chernobyl_disaster,14148,Chernobyl (disaster),russian
2024-01-11,Chernobyl_disaster,13417,Chernobyl (disaster),russian
2024-01-12,Chernobyl_disaster,13130,Chernobyl (disaster),russian
2024-01-13,Chernobyl_disaster,12358,Chernobyl (disaster),russian
2024-01-14,Chernobyl_disaster,13137,Chernobyl (disaster),russian
2024-01-15,Chernobyl_disaster,13306,Chernobyl (disaster),russian
2024-01-16,Chernobyl_disaster,12742,Chernobyl (disaster),russian
2024-01-17,Chernobyl_disaster,12801,Chernobyl (disaster),russian
2024-01-18,Chernobyl_disaster,13687,Chernobyl (disaster),russian
2024-01-19,Chernobyl_disaster,13196,Chernobyl (disaster),russian
2024-01-20,Chernobyl_disaster,12245,Chernobyl (disaster),russian
2024-01-21,Chernobyl_disaster,13493,Chernobyl (disaster),russian
2024-01-22,Chernobyl_disaster,13544,Chernobyl (disaster),russian
2024-01-23,Chernobyl_disaster,13961,Chernobyl (disaster),russian
2024-01-24,Chernobyl_disaster,14355,Chernobyl (disaster),russian
2024-01-25,Chernobyl_disaster,13890,Chernobyl (disaster),russian
2024-01-26,Chernobyl_disaster,12891,Chernobyl (disaster),russian
2024-01-27,Chernobyl_disaster,12737,Chernobyl (disaster),russian
2024-01-28,Chernobyl_disaster,13722,Chernobyl (disaster),russian
2024-01-29,Chernobyl_disaster,13912,Chernobyl (disaster),russian
2024-01-30,Chernobyl_disaster,13954,Chernobyl (disaster),russian
2024-01-31,Chernobyl_disaster,13483,Chernobyl (disaster),russian
2024-02-01,Chernobyl_disaster,11959,Chernobyl (disaster),russian
2024-02-02,Chernobyl_disaster,11914,Chernobyl (disaster),russian
2024-02-03,Chernobyl_disaster,12242,Chernobyl (disaster),russian
2024-02-04,Chernobyl_disaster,13035,Chernobyl (disaster),russian
2024-02-05,Chernobyl_disaster,12204,Chernobyl (disaster),russian
2024-02-06,Chernobyl_disaster,11446,Chernobyl (disaster),russian
2024-02-07,Chernobyl_disaster,11197,Chernobyl (disaster),russian
2024-02-08,Chernobyl_disaster,12462,Chernobyl (disaster),russian
2024-02-09,Chernobyl_disaster,14694,Chernobyl (disaster),russian
2024-02-10,Chernobyl_disaster,14257,Chernobyl (disaster),russian
2024-02-11,Chernobyl_disaster,14926,Chernobyl (disaster),russian
2024-02-12,Chernobyl_disaster,12948,Chernobyl (disaster),russian
2024-02-13,Chernobyl_disaster,11848,Chernobyl (disaster),russian
2024-02-14,Chernobyl_disaster,11619,Chernobyl (disaster),russian
2024-02-15,Chernobyl_disaster,11237,Chernobyl (disaster),russian
2024-02-16,Chernobyl_disaster,11578,Chernobyl (disaster),russian
2024-02-17,Chernobyl_disaster,12134,Chernobyl (disaster),russian
2024-02-18,Chernobyl_disaster,13907,Chernobyl (disaster),russian
2024-02-19,Chernobyl_disaster,13552,Chernobyl (disaster),russian
2024-02-20,Chernobyl_disaster,12516,Chernobyl (disaster),russian
2024-02-21,Chernobyl_disaster,11843,Chernobyl (disaster),russian
2024-02-22,Chernobyl_disaster,11616,Chernobyl (disaster),russian
2024-02-23,Chernobyl_disaster,11141,Chernobyl (disaster),russian
2024-02-24,Chernobyl_disaster,10788,Chernobyl (disaster),russian
2024-02-25,Chernobyl_disaster,10695,Chernobyl (disaster),russian
2024-02-26,Chernobyl_disaster,11752,Chernobyl (disaster),russian
2024-02-27,Chernobyl_disaster,11855,Chernobyl (disaster),russian
2024-02-28,Chernobyl_disaster,11552,Chernobyl (disaster),russian
2024-02-29,Chernobyl_disaster,11040,Chernobyl (disaster),russian
2024-03-01,Chernobyl_disaster,11320,Chernobyl (disaster),russian
2024-03-02,Chernobyl_disaster,10394,Chernobyl (disaster),russian
2024-03-03,Chernobyl_disaster,11797,Chernobyl (disaster),russian
2024-03-04,Chernobyl_disaster,11638,Chernobyl (disaster),russian
2024-03-05,Chernobyl_disaster,11995,Chernobyl (disaster),russian
2024-03-06,Chernobyl_disaster,12426,Chernobyl (disaster),russian
2024-03-07,Chernobyl_disaster,12628,Chernobyl (disaster),russian
2024-03-08,Chernobyl_disaster,13614,Chernobyl (disaster),russian
2024-03-09,Chernobyl_disaster,12802,Chernobyl (disaster),russian
2024-03-10,Chernobyl_disaster,12543,Chernobyl (disaster),russian
2024-03-11,Chernobyl_disaster,12542,Chernobyl (disaster),russian
2024-03-12,Chernobyl_disaster,12517,Chernobyl (disaster),russian
2024-03-13,Chernobyl_disaster,11977,Chernobyl (disaster),russian
2024-03-14,Chernobyl_disaster,11461,Chernobyl (disaster),russian
2024-03-15,Chernobyl_disaster,10698,Chernobyl (disaster),russian
2024-03-16,Chernobyl_disaster,11188,Chernobyl (disaster),russian
2024-03-17,Chernobyl_disaster,13028,Chernobyl (disaster),russian
2024-03-18,Chernobyl_disaster,12752,Chernobyl (disaster),russian
2024-03-19,Chernobyl_disaster,13355,Chernobyl (disaster),russian
2024-03-20,Chernobyl_disaster,12350,Chernobyl (disaster),russian
2024-03-21,Chernobyl_disaster,11697,Chernobyl (disaster),russian
2024-03-22,Chernobyl_disaster,10878,Chernobyl (disaster),russian
2024-03-23,Chernobyl_disaster,10077,Chernobyl (disaster),russian
2024-03-24,Chernobyl_disaster,11064,Chernobyl (disaster),russian
2024-03-25,Chernobyl_disaster,10993,Chernobyl (disaster),russian
2024-03-26,Chernobyl_disaster,11095,Chernobyl (disaster),russian
2024-03-27,Chernobyl_disaster,10691,Chernobyl (disaster),russian
2024-03-28,Chernobyl_disaster,10818,Chernobyl (disaster),russian
2024-03-29,Chernobyl_disaster,15595,Chernobyl (disaster),russian
2024-03-30,Chernobyl_disaster,10314,Chernobyl (disaster),russian
2024-03-31,Chernobyl_disaster,11685,Chernobyl (disaster),russian
2024-04-01,Chernobyl_disaster,10976,Chernobyl (disaster),russian
2024-04-02,Chernobyl_disaster,12965,Chernobyl (disaster),russian
2024-04-03,Chernobyl_disaster,11299,Chernobyl (disaster),russian
2024-04-04,Chernobyl_disaster,11050,Chernobyl (disaster),russian
2024-04-05,Chernobyl_disaster,11180,Chernobyl (disaster),russian
2024-04-06,Chernobyl_disaster,13250,Chernobyl (disaster),russian
2024-04-07,Chernobyl_disaster,18162,Chernobyl (disaster),russian
2024-04-08,Chernobyl_disaster,17430,Chernobyl (disaster),russian
2024-04-09,Chernobyl_disaster,12628,Chernobyl (disaster),russian
2024-04-10,Chernobyl_disaster,11592,Chernobyl (disaster),russian
2024-04-11,Chernobyl_disaster,11453,Chernobyl (disaster),russian
2024-04-12,Chernobyl_disaster,11753,Chernobyl (disaster),russian
2024-04-13,Chernobyl_disaster,10818,Chernobyl (disaster),russian
2024-04-14,Chernobyl_disaster,11687,Chernobyl (disaster),russian
2024-04-15,Chernobyl_disaster,12876,Chernobyl (disaster),russian
2024-04-16,Chernobyl_disaster,12254,Chernobyl (disaster),russian
2024-04-17,Chernobyl_disaster,12939,Chernobyl (disaster),russian
2024-04-18,Chernobyl_disaster,12711,Chernobyl (disaster),russian
2024-04-19,Chernobyl_disaster,12893,Chernobyl (disaster),russian
2024-04-20,Chernobyl_disaster,11266,Chernobyl (disaster),russian
2024-04-21,Chernobyl_disaster,12785,Chernobyl (disaster),russian
2024-04-22,Chernobyl_disaster,13766,Chernobyl (disaster),russian
2024-04-23,Chernobyl_disaster,12821,Chernobyl (disaster),russian
2024-04-24,Chernobyl_disaster,13591,Chernobyl (disaster),russian
2024-04-25,Chernobyl_disaster,17152,Chernobyl (disaster),russian
2024-04-26,Chernobyl_disaster,33411,Chernobyl (disaster),russian
2024-04-27,Chernobyl_disaster,23164,Chernobyl (disaster),russian
2024-04-28,Chernobyl_disaster,21418,Chernobyl (disaster),russian
2024-04-29,Chernobyl_disaster,19294,Chernobyl (disaster),russian
2024-04-30,Chernobyl_disaster,16645,Chernobyl (disaster),russian
2024-05-01,Chernobyl_disaster,15486,Chernobyl (disaster),russian
2024-05-02,Chernobyl_disaster,15354,Chernobyl (disaster),russian
2024-05-03,Chernobyl_disaster,14647,Chernobyl (disaster),russian
2024-05-04,Chernobyl_disaster,12572,Chernobyl (disaster),russian
2024-05-05,Chernobyl_disaster,13341,Chernobyl (disaster),russian
2024-05-06,Chernobyl_disaster,15242,Chernobyl (disaster),russian
2024-05-07,Chernobyl_disaster,13640,Chernobyl (disaster),russian
2024-05-08,Chernobyl_disaster,13813,Chernobyl (disaster),russian
2024-05-09,Chernobyl_disaster,13056,Chernobyl (disaster),russian
2024-05-10,Chernobyl_disaster,11366,Chernobyl (disaster),russian
2024-05-11,Chernobyl_disaster,16581,Chernobyl (disaster),russian
2024-05-12,Chernobyl_disaster,26124,Chernobyl (disaster),russian
2024-05-13,Chernobyl_disaster,16894,Chernobyl (disaster),russian
