date,article,views,label,variant
2024-01-01,Chornobyl_disaster,16,Chornobyl (disaster),ukrainian
2024-01-02,Chornobyl_disaster,17,Chornobyl (disaster),ukrainian
2024-01-03,Chornobyl_disaster,16,Chornobyl (disaster),ukrainian
2024-01-04,Chornobyl_disaster,11,Chornobyl (disaster),ukrainian
2024-01-05,Chornobyl_disaster,15,Chornobyl (disaster),ukrainian
2024-01-06,Chornobyl_disaster,21,Chornobyl (disaster),ukrainian
2024-01-07,Chornobyl_disaster,15,Chornobyl (disaster),ukrainian
2024-01-08,Chornobyl_disaster,15,Chornobyl (disaster),ukrainian
2024-01-09,Chornobyl_disaster,19,Chornobyl (disaster),ukrainian
2024-01-10,Chornobyl_disaster,15,Chornobyl (disaster),ukrainian
2024-01-11,Chornobyl_disaster,20,Chornobyl (disaster),ukrainian
2024-01-12,Chornobyl_disaster,21,Chornobyl (disaster),ukrainian
2024-01-13,Chornobyl_disaster,15,Chornobyl (disaster),ukrainian
2024-01-14,Chornobyl_disaster,26,Chornobyl (disaster),ukrainian
2024-01-15,Chornobyl_disaster,28,Chornobyl (disaster),ukrainian
2024-01-16,Chornobyl_disaster,27,Chornobyl (disaster),ukrainian
2024-01-17,Chornobyl_disaster,18,Chornobyl (disaster),ukrainian
2024-01-18,Chornobyl_disaster,20,Chornobyl (disaster),ukrainian
2024-01-19,Chornobyl_disaster,27,Chornobyl (disaster),ukrainian
2024-01-20,Chornobyl_disaster,19,Chornobyl (disaster),ukrainian
2024-01-21,Chornobyl_disaster,30,Chornobyl (disaster),ukrainian
2024-01-22,Chornobyl_disaster,21,Chornobyl (disaster),ukrainian
2024-01-23,Chornobyl_disaster,26,Chornobyl (disaster),ukrainian
2024-01-24,Chornobyl_disaster,35,Chornobyl (disaster),ukrainian
2024-01-25,Chornobyl_disaster,22,Chornobyl (disaster),ukrainian
2024-01-26,Chornobyl_disaster,30,Chornobyl (disaster),ukrainian
2024-01-27,Chornobyl_disaster,27,Chornobyl (disaster),ukrainian
2024-01-28,Chornobyl_disaster,21,Chornobyl (disaster),ukrainian
2024-01-29,Chornobyl_disaster,23,Chornobyl (disaster),ukrainian
2024-01-30,Chornobyl_disaster,32,Chornobyl (disaster),ukrainian
2024-01-31,Chornobyl_disaster,16,Chornobyl (disaster),ukrainian
2024-02-01,Chornobyl_disaster,22,Chornobyl (disaster),ukrainian
2024-02-02,Chornobyl_disaster,25,Chornobyl (disaster),ukrainian
2024-02-03,Chornobyl_disaster,29,Chornobyl (disaster),ukrainian
2024-02-04,Chornobyl_disaster,23,Chornobyl (disaster),ukrainian
2024-02-05,Chornobyl_disaster,34,Chornobyl (disaster),ukrainian
2024-02-06,Chornobyl_disaster,29,Chornobyl (disaster),ukrainian
2024-02-07,Chornobyl_disaster,33,Chornobyl (disaster),ukrainian
2024-02-08,Chornobyl_disaster,25,Chornobyl (disaster),ukrainian
2024-02-09,Chornobyl_disaster,24,Chornobyl (disaster),ukrainian
2024-02-10,Chornobyl_disaster,36,Chornobyl (disaster),ukrainian
2024-02-11,Chornobyl_disaster,36,Chornobyl (disaster),ukrainian
2024-02-12,Chornobyl_disaster,35,Chornobyl (disaster),ukrainian
2024-02-13,Chornobyl_disaster,39,Chornobyl (disaster),ukrainian
2024-02-14,Chornobyl_disaster,39,Chornobyl (disaster),ukrainian
2024-02-15,Chornobyl_disaster,30,Chornobyl (disaster),ukrainian
2024-02-16,Chornobyl_disaster,25,Chornobyl (disaster),ukrainian
2024-02-17,Chornobyl_disaster,32,Chornobyl (disaster),ukrainian
2024-02-18,Chornobyl_disaster,43,Chornobyl (disaster),ukrainian
2024-02-19,Chornobyl_disaster,30,Chornobyl (disaster),ukrainian
2024-02-20,Chornobyl_disaster,38,Chornobyl (disaster),ukrainian
2024-02-21,Chornobyl_disaster,38,Chornobyl (disaster),ukrainian
2024-02-22,Chornobyl_disaster,23,Chornobyl (disaster),ukrainian
2024-02-23,Chornobyl_disaster,25,Chornobyl (disaster),ukrainian
2024-02-24,Chornobyl_disaster,42,Chornobyl (disaster),ukrainian
2024-02-25,Chornobyl_disaster,35,Chornobyl (disaster),ukrainian
2024-02-26,Chornobyl_disaster,32,Chornobyl (disaster),ukrainian
2024-02-27,Chornobyl_disaster,19,Chornobyl (disaster),ukrainian
2024-02-28,Chornobyl_disaster,18,Chornobyl (disaster),ukrainian
2024-02-29,Chornobyl_disaster,32,Chornobyl (disaster),ukrainian
2024-03-01,Chornobyl_disaster,19,Chornobyl (disaster),ukrainian
2024-03-02,Chornobyl_disaster,31,Chornobyl (disaster),ukrainian
2024-03-03,Chornobyl_disaster,29,Chornobyl (disaster),ukrainian
2024-03-04,Chornobyl_disaster,39,Chornobyl (disaster),ukrainian
2024-03-05,Chornobyl_disaster,42,Chornobyl (disaster),ukrainian
2024-03-06,Chornobyl_disaster,37,Chornobyl (disaster),ukrainian
2024-03-07,Chornobyl_disaster,23,Chornobyl (disaster),ukrainian
2024-03-08,Chornobyl_disaster,25,Chornobyl (disaster),ukrainian
2024-03-09,Chornobyl_disaster,22,Chornobyl (disaster),ukrainian
2024-03-10,Chornobyl_disaster,25,Chornobyl (disaster),ukrainian
2024-03-11,Chornobyl_disaster,29,Chornobyl (disaster),ukrainian
2024-03-12,Chornobyl_disaster,38,Chornobyl (disaster),ukrainian
2024-03-13,Chornobyl_disaster,34,Chornobyl (disaster),ukrainian
2024-03-14,Chornobyl_disaster,36,Chornobyl (disaster),ukrainian
2024-03-15,Chornobyl_disaster,26,Chornobyl (disaster),ukrainian
2024-03-16,Chornobyl_disaster,18,Chornobyl (disaster),ukrainian
2024-03-17,Chornobyl_disaster,20,Chornobyl (disaster),ukrainian
2024-03-18,Chornobyl_disaster,44,Chornobyl (disaster),ukrainian
2024-03-19,Chornobyl_disaster,22,Chornobyl (disaster),ukrainian
2024-03-20,Chornobyl_disaster,26,Chornobyl (disaster),ukrainian
2024-03-21,Chornobyl_disaster,27,Chornobyl (disaster),ukrainian
2024-03-22,Chornobyl_disaster,26,Chornobyl (disaster),ukrainian
2024-03-23,Chornobyl_disaster,33,Chornobyl (disaster),ukrainian
2024-03-24,Chornobyl_disaster,26,Chornobyl (disaster),ukrainian
2024-03-25,Chornobyl_disaster,39,Chornobyl (disaster),ukrainian
