date,article,views,label,variant
2024-01-01,Chicken_Kiev,899,Chicken Kiev,russian
2024-01-02,Chicken_Kiev,947,Chicken Kiev,russian
2024-01-03,Chicken_Kiev,952,Chicken Kiev,russian
2024-01-04,Chicken_Kiev,960,Chicken Kiev,russian
2024-01-05,Chicken_Kiev,903,Chicken Kiev,russian
2024-01-06,Chicken_Kiev,963,Chicken Kiev,russian
2024-01-07,Chicken_Kiev,928,Chicken Kiev,russian
2024-01-08,Chicken_Kiev,1013,Chicken Kiev,russian
2024-01-09,Chicken_Kiev,916,Chicken Kiev,russian
2024-01-10,Chicken_Kiev,936,Chicken Kiev,russian
2024-01-11,Chicken_Kiev,931,Chicken Kiev,russian
2024-01-12,Chicken_Kiev,954,Chicken Kiev,russian
2024-01-13,Chicken_Kiev,973,Chicken Kiev,russian
2024-01-14,Chicken_Kiev,977,Chicken Kiev,russian
2024-01-15,Chicken_Kiev,1005,Chicken Kiev,russian
2024-01-16,Chicken_Kiev,856,Chicken Kiev,russian
2024-01-17,Chicken_Kiev,919,Chicken Kiev,russian
2024-01-18,Chicken_Kiev,902,Chicken Kiev,russian
2024-01-19,Chicken_Kiev,868,Chicken Kiev,russian
2024-01-20,Chicken_Kiev,907,Chicken Kiev,russian
2024-01-21,Chicken_Kiev,964,Chicken Kiev,russian
2024-01-22,Chicken_Kiev,912,Chicken Kiev,russian
2024-01-23,Chicken_Kiev,859,Chicken Kiev,russian
2024-01-24,Chicken_Kiev,905,Chicken Kiev,russian
2024-01-25,Chicken_Kiev,904,Chicken Kiev,russian
2024-01-26,Chicken_Kiev,906,Chicken Kiev,russian
2024-01-27,Chicken_Kiev,837,Chicken Kiev,russian
2024-01-28,Chicken_Kiev,910,Chicken Kiev,russian
2024-01-29,Chicken_Kiev,833,Chicken Kiev,russian
2024-01-30,Chicken_Kiev,838,Chicken Kiev,russian
2024-01-31,Chicken_Kiev,957,Chicken Kiev,russian
2024-02-01,Chicken_Kiev,858,Chicken Kiev,russian
2024-02-02,Chicken_Kiev,800,Chicken Kiev,russian
2024-02-03,Chicken_Kiev,860,Chicken Kiev,russian
2024-02-04,Chicken_Kiev,814,Chicken Kiev,russian
2024-02-05,Chicken_Kiev,814,Chicken Kiev,russian
2024-02-06,Chicken_Kiev,816,Chicken Kiev,russian
2024-02-07,Chicken_Kiev,849,Chicken Kiev,russian
2024-02-08,Chicken_Kiev,854,Chicken Kiev,russian
2024-02-09,Chicken_Kiev,799,Chicken Kiev,russian
2024-02-10,Chicken_Kiev,953,Chicken Kiev,russian
2024-02-11,Chicken_Kiev,953,Chicken Kiev,russian
