date,article,views,label,variant
2024-01-02,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-01-03,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-01-10,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-01-16,Chicken_Kyiv,9,Chicken Kyiv,ukrainian
2024-01-19,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-01-21,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-01-26,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-02-01,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-02-02,Chicken_Kyiv,4,Chicken Kyiv,ukrainian
2024-02-03,Chicken_Kyiv,4,Chicken Kyiv,ukrainian
2024-02-06,Chicken_Kyiv,10,Chicken Kyiv,ukrainian
2024-02-07,Chicken_Kyiv,10,Chicken Kyiv,ukrainian
2024-02-08,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-02-09,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-02-10,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-02-12,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-02-18,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-02-20,Chicken_Kyiv,44,Chicken Kyiv,ukrainian
2024-02-21,Chicken_Kyiv,35,Chicken Kyiv,ukrainian
2024-02-22,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-02-25,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-03-02,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-03-04,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-03-05,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-03-06,Chicken_Kyiv,17,Chicken Kyiv,ukrainian
2024-03-07,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-03-11,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-03-13,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-03-14,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-03-16,Chicken_Kyiv,8,Chicken Kyiv,ukrainian
2024-03-17,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-03-19,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-03-20,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-03-21,Chicken_Kyiv,16,Chicken Kyiv,ukrainian
2024-03-22,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-03-23,Chicken_Kyiv,8,Chicken Kyiv,ukrainian
2024-03-27,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-03-30,Chicken_Kyiv,10,Chicken Kyiv,ukrainian
2024-04-02,Chicken_Kyiv,4,Chicken Kyiv,ukrainian
2024-04-04,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-04-05,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-04-06,Chicken_Kyiv,6,Chicken Kyiv,ukrainian
2024-04-11,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-04-13,Chicken_Kyiv,8,Chicken Kyiv,ukrainian
2024-04-14,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-04-15,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-04-18,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-04-19,Chicken_Kyiv,5,Chicken Kyiv,ukrainian
2024-04-20,Chicken_Kyiv,5,Chicken Kyiv,ukrainian
2024-04-21,Chicken_Kyiv,4,Chicken Kyiv,ukrainian
2024-04-25,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-04-28,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-04-30,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-05-02,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-05-03,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-05-04,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-05-06,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-05-09,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-05-11,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-05-14,Chicken_Kyiv,3,Chicken Kyiv,ukrainian
2024-05-15,Chicken_Kyiv,9,Chicken Kyiv,ukrainian
2024-05-17,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-05-18,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-05-22,Chicken_Kyiv,1,Chicken Kyiv,ukrainian
2024-05-23,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
2024-05-25,Chicken_Kyiv,2,Chicken Kyiv,ukrainian
