date,article,views,label,variant
2024-01-01,Ukraine,16046,Ukraine (no article),russian
2024-01-02,Ukraine,17829,Ukraine (no article),russian
2024-01-03,Ukraine,21410,Ukraine (no article),russian
2024-01-04,Ukraine,16596,Ukraine (no article),russian
2024-01-05,Ukraine,15576,Ukraine (no article),russian
2024-01-06,Ukraine,15603,Ukraine (no article),russian
2024-01-07,Ukraine,16119,Ukraine (no article),russian
2024-01-08,Ukraine,16317,Ukraine (no article),russian
2024-01-09,Ukraine,18555,Ukraine (no article),russian
2024-01-10,Ukraine,17832,Ukraine (no article),russian
2024-01-11,Ukraine,17457,Ukraine (no article),russian
2024-01-12,Ukraine,17611,Ukraine (no article),russian
2024-01-13,Ukraine,16290,Ukraine (no article),russian
2024-01-14,Ukraine,17720,Ukraine (no article),russian
2024-01-15,Ukraine,21889,Ukraine (no article),russian
2024-01-16,Ukraine,18655,Ukraine (no article),russian
2024-01-17,Ukraine,18861,Ukraine (no article),russian
2024-01-18,Ukraine,19121,Ukraine (no article),russian
2024-01-19,Ukraine,19267,Ukraine (no article),russian
2024-01-20,Ukraine,17420,Ukraine (no article),russian
2024-01-21,Ukraine,18457,Ukraine (no article),russian
2024-01-22,Ukraine,20537,Ukraine (no article),russian
2024-01-23,Ukraine,20196,Ukraine (no article),russian
2024-01-24,Ukraine,20907,Ukraine (no article),russian
2024-01-25,Ukraine,20576,Ukraine (no article),russian
2024-01-26,Ukraine,18913,Ukraine (no article),russian
2024-01-27,Ukraine,17077,Ukraine (no article),russian
2024-01-28,Ukraine,18873,Ukraine (no article),russian
2024-01-29,Ukraine,19852,Ukraine (no article),russian
2024-01-30,Ukraine,19099,Ukraine (no article),russian
2024-01-31,Ukraine,18382,Ukraine (no article),russian
2024-02-01,Ukraine,16593,Ukraine (no article),russian
2024-02-02,Ukraine,15323,Ukraine (no article),russian
2024-02-03,Ukraine,14651,Ukraine (no article),russian
2024-02-04,Ukraine,17300,Ukraine (no article),russian
2024-02-05,Ukraine,16326,Ukraine (no article),russian
2024-02-06,Ukraine,16163,Ukraine (no article),russian
2024-02-07,Ukraine,16595,Ukraine (no article),russian
2024-02-08,Ukraine,20449,Ukraine (no article),russian
2024-02-09,Ukraine,38344,Ukraine (no article),russian
2024-02-10,Ukraine,24173,Ukraine (no article),russian
2024-02-11,Ukraine,20474,Ukraine (no article),russian
2024-02-12,Ukraine,19336,Ukraine (no article),russian
2024-02-13,Ukraine,20901,Ukraine (no article),russian
2024-02-14,Ukraine,22158,Ukraine (no article),russian
2024-02-15,Ukraine,20231,Ukraine (no article),russian
2024-02-16,Ukraine,20121,Ukraine (no article),russian
2024-02-17,Ukraine,23670,Ukraine (no article),russian
2024-02-18,Ukraine,23915,Ukraine (no article),russian
2024-02-19,Ukraine,23388,Ukraine (no article),russian
2024-02-20,Ukraine,23138,Ukraine (no article),russian
2024-02-21,Ukraine,20214,Ukraine (no article),russian
2024-02-22,Ukraine,23016,Ukraine (no article),russian
