date,article,views,label,variant
2024-01-01,FC_Dynamo_Kyiv,863,Dynamo Kyiv,russian
2024-01-02,FC_Dynamo_Kyiv,880,Dynamo Kyiv,russian
2024-01-03,FC_Dynamo_Kyiv,895,Dynamo Kyiv,russian
2024-01-04,FC_Dynamo_Kyiv,881,Dynamo Kyiv,russian
2024-01-05,FC_Dynamo_Kyiv,793,Dynamo Kyiv,russian
2024-01-06,FC_Dynamo_Kyiv,876,Dynamo Kyiv,russian
2024-01-07,FC_Dynamo_Kyiv,933,Dynamo Kyiv,russian
2024-01-08,FC_Dynamo_Kyiv,963,Dynamo Kyiv,russian
2024-01-09,FC_Dynamo_Kyiv,1037,Dynamo Kyiv,russian
2024-01-10,FC_Dynamo_Kyiv,826,Dynamo Kyiv,russian
2024-01-11,FC_Dynamo_Kyiv,825,Dynamo Kyiv,russian
2024-01-12,FC_Dynamo_Kyiv,777,Dynamo Kyiv,russian
2024-01-13,FC_Dynamo_Kyiv,826,Dynamo Kyiv,russian
2024-01-14,FC_Dynamo_Kyiv,888,Dynamo Kyiv,russian
2024-01-15,FC_Dynamo_Kyiv,818,Dynamo Kyiv,russian
2024-01-16,FC_Dynamo_Kyiv,1020,Dynamo Kyiv,russian
2024-01-17,FC_Dynamo_Kyiv,981,Dynamo Kyiv,russian
2024-01-18,FC_Dynamo_Kyiv,833,Dynamo Kyiv,russian
2024-01-19,FC_Dynamo_Kyiv,880,Dynamo Kyiv,russian
2024-01-20,FC_Dynamo_Kyiv,887,Dynamo Kyiv,russian
2024-01-21,FC_Dynamo_Kyiv,1000,Dynamo Kyiv,russian
2024-01-22,FC_Dynamo_Kyiv,960,Dynamo Kyiv,russian
2024-01-23,FC_Dynamo_Kyiv,826,Dynamo Kyiv,russian
2024-01-24,FC_Dynamo_Kyiv,784,Dynamo Kyiv,russian
2024-01-25,FC_Dynamo_Kyiv,824,Dynamo Kyiv,russian
2024-01-26,FC_Dynamo_Kyiv,866,Dynamo Kyiv,russian
2024-01-27,FC_Dynamo_Kyiv,868,Dynamo Kyiv,russian
2024-01-28,FC_Dynamo_Kyiv,856,Dynamo Kyiv,russian
2024-01-29,FC_Dynamo_Kyiv,1018,Dynamo Kyiv,russian
2024-01-30,FC_Dynamo_Kyiv,900,Dynamo Kyiv,russian
2024-01-31,FC_Dynamo_Kyiv,768,Dynamo Kyiv,russian
2024-02-01,FC_Dynamo_Kyiv,734,Dynamo Kyiv,russian
2024-02-02,FC_Dynamo_Kyiv,977,Dynamo Kyiv,russian
2024-02-03,FC_Dynamo_Kyiv,821,Dynamo Kyiv,russian
2024-02-04,FC_Dynamo_Kyiv,930,Dynamo Kyiv,russian
2024-02-05,FC_Dynamo_Kyiv,849,Dynamo Kyiv,russian
2024-02-06,FC_Dynamo_Kyiv,837,Dynamo Kyiv,russian
2024-02-07,FC_Dynamo_Kyiv,673,Dynamo Kyiv,russian
2024-02-08,FC_Dynamo_Kyiv,799,Dynamo Kyiv,russian
2024-02-09,FC_Dynamo_Kyiv,776,Dynamo Kyiv,russian
