pair_id,page_title,variant,date,pageviews
70,Vladimir the Great,russian,2015-07-01,13677
70,Vladimir the Great,russian,2015-08-01,11613
70,Vladimir the Great,russian,2015-09-01,11289
70,Vladimir the Great,russian,2015-10-01,15731
70,Vladimir the Great,russian,2015-11-01,16234
70,Vladimir the Great,russian,2015-12-01,52565
70,Vladimir the Great,russian,2016-01-01,13651
70,Vladimir the Great,russian,2016-02-01,14780
70,Vladimir the Great,russian,2016-03-01,12430
70,Vladimir the Great,russian,2016-04-01,13728
70,Vladimir the Great,russian,2016-05-01,12043
70,Vladimir the Great,russian,2016-06-01,10037
70,Vladimir the Great,russian,2016-07-01,11377
70,Vladimir the Great,russian,2016-08-01,11381
70,Vladimir the Great,russian,2016-09-01,14209
70,Vladimir the Great,russian,2016-10-01,18137
70,Vladimir the Great,russian,2016-11-01,30726
70,Vladimir the Great,russian,2016-12-01,17797
70,Vladimir the Great,russian,2017-01-01,20401
70,Vladimir the Great,russian,2017-02-01,15330
70,Vladimir the Great,russian,2017-03-01,18304
70,Vladimir the Great,russian,2017-04-01,62634
70,Vladimir the Great,russian,2017-05-01,16589
70,Vladimir the Great,russian,2017-06-01,13232
70,Vladimir the Great,russian,2017-07-01,14134
70,Vladimir the Great,russian,2017-08-01,13024
70,Vladimir the Great,russian,2017-09-01,13754
70,Vladimir the Great,russian,2017-10-01,17187
70,Vladimir the Great,russian,2017-11-01,17233
70,Vladimir the Great,russian,2017-12-01,17941
70,Vladimir the Great,russian,2018-01-01,19797
70,Vladimir the Great,russian,2018-02-01,15367
70,Vladimir the Great,russian,2018-03-01,17655
70,Vladimir the Great,russian,2018-04-01,16514
70,Vladimir the Great,russian,2018-05-01,15898
70,Vladimir the Great,russian,2018-06-01,15395
70,Vladimir the Great,russian,2018-07-01,17109
70,Vladimir the Great,russian,2018-08-01,13110
70,Vladimir the Great,russian,2018-09-01,13684
70,Vladimir the Great,russian,2018-10-01,17254
70,Vladimir the Great,russian,2018-11-01,18650
70,Vladimir the Great,russian,2018-12-01,20244
70,Vladimir the Great,russian,2019-01-01,17949
70,Vladimir the Great,russian,2019-02-01,16810
70,Vladimir the Great,russian,2019-03-01,15179
70,Vladimir the Great,russian,2019-04-01,15570
70,Vladimir the Great,russian,2019-05-01,14802
70,Vladimir the Great,russian,2019-06-01,13912
70,Vladimir the Great,russian,2019-07-01,16003
70,Vladimir the Great,russian,2019-08-01,14698
70,Vladimir the Great,russian,2019-09-01,14344
70,Vladimir the Great,russian,2019-10-01,17857
70,Vladimir the Great,russian,2019-11-01,16327
70,Vladimir the Great,russian,2019-12-01,19254
70,Vladimir the Great,russian,2020-01-01,18057
70,Vladimir the Great,russian,2020-02-01,32621
70,Vladimir the Great,russian,2020-03-01,16431
70,Vladimir the Great,russian,2020-04-01,19813
70,Vladimir the Great,russian,2020-05-01,19684
70,Vladimir the Great,russian,2020-06-01,18587
70,Vladimir the Great,russian,2020-07-01,18498
70,Vladimir the Great,russian,2020-08-01,17421
70,Vladimir the Great,russian,2020-09-01,20040
70,Vladimir the Great,russian,2020-10-01,18825
70,Vladimir the Great,russian,2020-11-01,17133
70,Vladimir the Great,russian,2020-12-01,18593
70,Vladimir the Great,russian,2021-01-01,20938
70,Vladimir the Great,russian,2021-02-01,18076
70,Vladimir the Great,russian,2021-03-01,22122
70,Vladimir the Great,russian,2021-04-01,19871
70,Vladimir the Great,russian,2021-05-01,19060
70,Vladimir the Great,russian,2021-06-01,18928
70,Vladimir the Great,russian,2021-07-01,21101
70,Vladimir the Great,russian,2021-08-01,23570
70,Vladimir the Great,russian,2021-09-01,17710
70,Vladimir the Great,russian,2021-10-01,18273
70,Vladimir the Great,russian,2021-11-01,19732
70,Vladimir the Great,russian,2021-12-01,23628
70,Vladimir the Great,russian,2022-01-01,28012
70,Vladimir the Great,russian,2022-02-01,80292
70,Vladimir the Great,russian,2022-03-01,118089
70,Vladimir the Great,russian,2022-04-01,44434
70,Vladimir the Great,russian,2022-05-01,34001
70,Vladimir the Great,russian,2022-06-01,27622
70,Vladimir the Great,russian,2022-07-01,28240
70,Vladimir the Great,russian,2022-08-01,23700
70,Vladimir the Great,russian,2022-09-01,39324
70,Vladimir the Great,russian,2022-10-01,33105
70,Vladimir the Great,russian,2022-11-01,25939
70,Vladimir the Great,russian,2022-12-01,27962
70,Vladimir the Great,russian,2023-01-01,32850
70,Vladimir the Great,russian,2023-02-01,29391
