date,article,views,label,variant
2024-01-01,Nikolai_Gogol,1202,Nikolai Gogol,russian
2024-01-02,Nikolai_Gogol,1195,Nikolai Gogol,russian
2024-01-03,Nikolai_Gogol,1389,Nikolai Gogol,russian
2024-01-04,Nikolai_Gogol,1358,Nikolai Gogol,russian
2024-01-05,Nikolai_Gogol,1357,Nikolai Gogol,russian
2024-01-06,Nikolai_Gogol,1256,Nikolai Gogol,russian
2024-01-07,Nikolai_Gogol,1314,Nikolai Gogol,russian
2024-01-08,Nikolai_Gogol,1469,Nikolai Gogol,russian
2024-01-09,Nikolai_Gogol,1578,Nikolai Gogol,russian
2024-01-10,Nikolai_Gogol,1588,Nikolai Gogol,russian
2024-01-11,Nikolai_Gogol,1578,Nikolai Gogol,russian
2024-01-12,Nikolai_Gogol,1694,Nikolai Gogol,russian
2024-01-13,Nikolai_Gogol,1547,Nikolai Gogol,russian
2024-01-14,Nikolai_Gogol,1606,Nikolai Gogol,russian
2024-01-15,Nikolai_Gogol,1531,Nikolai Gogol,russian
2024-01-16,Nikolai_Gogol,1531,Nikolai Gogol,russian
2024-01-17,Nikolai_Gogol,1573,Nikolai Gogol,russian
2024-01-18,Nikolai_Gogol,1596,Nikolai Gogol,russian
2024-01-19,Nikolai_Gogol,1584,Nikolai Gogol,russian
2024-01-20,Nikolai_Gogol,1470,Nikolai Gogol,russian
2024-01-21,Nikolai_Gogol,1496,Nikolai Gogol,russian
2024-01-22,Nikolai_Gogol,1520,Nikolai Gogol,russian
2024-01-23,Nikolai_Gogol,1621,Nikolai Gogol,russian
2024-01-24,Nikolai_Gogol,1723,Nikolai Gogol,russian
2024-01-25,Nikolai_Gogol,1560,Nikolai Gogol,russian
2024-01-26,Nikolai_Gogol,1446,Nikolai Gogol,russian
2024-01-27,Nikolai_Gogol,1421,Nikolai Gogol,russian
2024-01-28,Nikolai_Gogol,1593,Nikolai Gogol,russian
2024-01-29,Nikolai_Gogol,1670,Nikolai Gogol,russian
2024-01-30,Nikolai_Gogol,1556,Nikolai Gogol,russian
2024-01-31,Nikolai_Gogol,1664,Nikolai Gogol,russian
2024-02-01,Nikolai_Gogol,1474,Nikolai Gogol,russian
2024-02-02,Nikolai_Gogol,1313,Nikolai Gogol,russian
2024-02-03,Nikolai_Gogol,1321,Nikolai Gogol,russian
2024-02-04,Nikolai_Gogol,1315,Nikolai Gogol,russian
2024-02-05,Nikolai_Gogol,1431,Nikolai Gogol,russian
2024-02-06,Nikolai_Gogol,1331,Nikolai Gogol,russian
2024-02-07,Nikolai_Gogol,1316,Nikolai Gogol,russian
2024-02-08,Nikolai_Gogol,1445,Nikolai Gogol,russian
2024-02-09,Nikolai_Gogol,1338,Nikolai Gogol,russian
2024-02-10,Nikolai_Gogol,1298,Nikolai Gogol,russian
2024-02-11,Nikolai_Gogol,1378,Nikolai Gogol,russian
2024-02-12,Nikolai_Gogol,1327,Nikolai Gogol,russian
2024-02-13,Nikolai_Gogol,1324,Nikolai Gogol,russian
2024-02-14,Nikolai_Gogol,1271,Nikolai Gogol,russian
2024-02-15,Nikolai_Gogol,1309,Nikolai Gogol,russian
