date,article,views,label,variant
2024-01-01,Feodosiia,1,Feodosiia,ukrainian
2024-01-02,Feodosiia,4,Feodosiia,ukrainian
2024-01-03,Feodosiia,3,Feodosiia,ukrainian
2024-01-04,Feodosiia,2,Feodosiia,ukrainian
2024-01-07,Feodosiia,2,Feodosiia,ukrainian
2024-01-08,Feodosiia,1,Feodosiia,ukrainian
2024-01-09,Feodosiia,3,Feodosiia,ukrainian
2024-01-11,Feodosiia,1,Feodosiia,ukrainian
2024-01-12,Feodosiia,2,Feodosiia,ukrainian
2024-01-13,Feodosiia,3,Feodosiia,ukrainian
2024-01-14,Feodosiia,3,Feodosiia,ukrainian
2024-01-15,Feodosiia,3,Feodosiia,ukrainian
2024-01-16,Feodosiia,3,Feodosiia,ukrainian
2024-01-17,Feodosiia,1,Feodosiia,ukrainian
2024-01-18,Feodosiia,6,Feodosiia,ukrainian
2024-01-19,Feodosiia,2,Feodosiia,ukrainian
2024-01-20,Feodosiia,1,Feodosiia,ukrainian
2024-01-21,Feodosiia,1,Feodosiia,ukrainian
2024-01-22,Feodosiia,1,Feodosiia,ukrainian
2024-01-23,Feodosiia,3,Feodosiia,ukrainian
2024-01-24,Feodosiia,2,Feodosiia,ukrainian
2024-01-25,Feodosiia,3,Feodosiia,ukrainian
2024-01-26,Feodosiia,3,Feodosiia,ukrainian
2024-01-27,Feodosiia,1,Feodosiia,ukrainian
2024-01-28,Feodosiia,2,Feodosiia,ukrainian
2024-01-29,Feodosiia,3,Feodosiia,ukrainian
2024-01-30,Feodosiia,3,Feodosiia,ukrainian
2024-01-31,Feodosiia,3,Feodosiia,ukrainian
2024-02-01,Feodosiia,2,Feodosiia,ukrainian
2024-02-02,Feodosiia,1,Feodosiia,ukrainian
2024-02-03,Feodosiia,3,Feodosiia,ukrainian
2024-02-04,Feodosiia,1,Feodosiia,ukrainian
2024-02-05,Feodosiia,3,Feodosiia,ukrainian
2024-02-06,Feodosiia,2,Feodosiia,ukrainian
2024-02-07,Feodosiia,2,Feodosiia,ukrainian
2024-02-08,Feodosiia,1,Feodosiia,ukrainian
2024-02-09,Feodosiia,4,Feodosiia,ukrainian
2024-02-10,Feodosiia,2,Feodosiia,ukrainian
2024-02-11,Feodosiia,3,Feodosiia,ukrainian
2024-02-12,Feodosiia,1,Feodosiia,ukrainian
2024-02-13,Feodosiia,2,Feodosiia,ukrainian
2024-02-14,Feodosiia,2,Feodosiia,ukrainian
2024-02-15,Feodosiia,2,Feodosiia,ukrainian
2024-02-16,Feodosiia,3,Feodosiia,ukrainian
2024-02-17,Feodosiia,2,Feodosiia,ukrainian
2024-02-18,Feodosiia,3,Feodosiia,ukrainian
2024-02-19,Feodosiia,2,Feodosiia,ukrainian
2024-02-20,Feodosiia,2,Feodosiia,ukrainian
2024-02-21,Feodosiia,3,Feodosiia,ukrainian
2024-02-22,Feodosiia,2,Feodosiia,ukrainian
2024-02-23,Feodosiia,2,Feodosiia,ukrainian
2024-02-24,Feodosiia,3,Feodosiia,ukrainian
2024-02-25,Feodosiia,6,Feodosiia,ukrainian
2024-02-26,Feodosiia,2,Feodosiia,ukrainian
2024-02-27,Feodosiia,1,Feodosiia,ukrainian
2024-02-28,Feodosiia,2,Feodosiia,ukrainian
2024-02-29,Feodosiia,1,Feodosiia,ukrainian
2024-03-01,Feodosiia,2,Feodosiia,ukrainian
2024-03-02,Feodosiia,2,Feodosiia,ukrainian
2024-03-03,Feodosiia,1,Feodosiia,ukrainian
2024-03-04,Feodosiia,1,Feodosiia,ukrainian
2024-03-05,Feodosiia,2,Feodosiia,ukrainian
2024-03-06,Feodosiia,3,Feodosiia,ukrainian
2024-03-07,Feodosiia,1,Feodosiia,ukrainian
2024-03-08,Feodosiia,1,Feodosiia,ukrainian
2024-03-09,Feodosiia,1,Feodosiia,ukrainian
2024-03-10,Feodosiia,2,Feodosiia,ukrainian
2024-03-11,Feodosiia,1,Feodosiia,ukrainian
2024-03-12,Feodosiia,3,Feodosiia,ukrainian
2024-03-13,Feodosiia,2,Feodosiia,ukrainian
2024-03-14,Feodosiia,3,Feodosiia,ukrainian
2024-03-15,Feodosiia,3,Feodosiia,ukrainian
2024-03-16,Feodosiia,3,Feodosiia,ukrainian
2024-03-17,Feodosiia,2,Feodosiia,ukrainian
2024-03-19,Feodosiia,1,Feodosiia,ukrainian
2024-03-20,Feodosiia,1,Feodosiia,ukrainian
2024-03-21,Feodosiia,1,Feodosiia,ukrainian
2024-03-22,Feodosiia,1,Feodosiia,ukrainian
2024-03-23,Feodosiia,2,Feodosiia,ukrainian
2024-03-24,Feodosiia,2,Feodosiia,ukrainian
2024-03-25,Feodosiia,2,Feodosiia,ukrainian
2024-03-26,Feodosiia,2,Feodosiia,ukrainian
2024-03-27,Feodosiia,4,Feodosiia,ukrainian
2024-03-28,Feodosiia,7,Feodosiia,ukrainian
2024-03-29,Feodosiia,10,Feodosiia,ukrainian
2024-03-30,Feodosiia,1,Feodosiia,ukrainian
2024-03-31,Feodosiia,2,Feodosiia,ukrainian
2024-04-01,Feodosiia,6,Feodosiia,ukrainian
2024-04-02,Feodosiia,2,Feodosiia,ukrainian
2024-04-03,Feodosiia,4,Feodosiia,ukrainian
2024-04-04,Feodosiia,3,Feodosiia,ukrainian
2024-04-06,Feodosiia,3,Feodosiia,ukrainian
2024-04-07,Feodosiia,4,Feodosiia,ukrainian
2024-04-08,Feodosiia,3,Feodosiia,ukrainian
2024-04-09,Feodosiia,3,Feodosiia,ukrainian
2024-04-10,Feodosiia,2,Feodosiia,ukrainian
2024-04-11,Feodosiia,2,Feodosiia,ukrainian
2024-04-12,Feodosiia,3,Feodosiia,ukrainian
2024-04-13,Feodosiia,2,Feodosiia,ukrainian
2024-04-14,Feodosiia,3,Feodosiia,ukrainian
2024-04-15,Feodosiia,3,Feodosiia,ukrainian
2024-04-16,Feodosiia,1,Feodosiia,ukrainian
2024-04-17,Feodosiia,2,Feodosiia,ukrainian
2024-04-18,Feodosiia,4,Feodosiia,ukrainian
2024-04-19,Feodosiia,3,Feodosiia,ukrainian
2024-04-20,Feodosiia,2,Feodosiia,ukrainian
2024-04-21,Feodosiia,1,Feodosiia,ukrainian
2024-04-22,Feodosiia,7,Feodosiia,ukrainian
2024-04-23,Feodosiia,2,Feodosiia,ukrainian
2024-04-24,Feodosiia,2,Feodosiia,ukrainian
2024-04-25,Feodosiia,3,Feodosiia,ukrainian
2024-04-26,Feodosiia,1,Feodosiia,ukrainian
2024-04-27,Feodosiia,6,Feodosiia,ukrainian
2024-04-28,Feodosiia,2,Feodosiia,ukrainian
2024-04-29,Feodosiia,3,Feodosiia,ukrainian
2024-04-30,Feodosiia,2,Feodosiia,ukrainian
2024-05-01,Feodosiia,2,Feodosiia,ukrainian
2024-05-03,Feodosiia,1,Feodosiia,ukrainian
2024-05-04,Feodosiia,1,Feodosiia,ukrainian
