date,article,views,label,variant
2024-01-01,Igor_Sikorsky,597,Igor Sikorsky,russian
2024-01-02,Igor_Sikorsky,575,Igor Sikorsky,russian
2024-01-03,Igor_Sikorsky,588,Igor Sikorsky,russian
2024-01-04,Igor_Sikorsky,612,Igor Sikorsky,russian
2024-01-05,Igor_Sikorsky,607,Igor Sikorsky,russian
2024-01-06,Igor_Sikorsky,573,Igor Sikorsky,russian
2024-01-07,Igor_Sikorsky,541,Igor Sikorsky,russian
2024-01-08,Igor_Sikorsky,548,Igor Sikorsky,russian
2024-01-09,Igor_Sikorsky,651,Igor Sikorsky,russian
2024-01-10,Igor_Sikorsky,611,Igor Sikorsky,russian
2024-01-11,Igor_Sikorsky,572,Igor Sikorsky,russian
2024-01-12,Igor_Sikorsky,550,Igor Sikorsky,russian
2024-01-13,Igor_Sikorsky,555,Igor Sikorsky,russian
2024-01-14,Igor_Sikorsky,541,Igor Sikorsky,russian
2024-01-15,Igor_Sikorsky,601,Igor Sikorsky,russian
2024-01-16,Igor_Sikorsky,622,Igor Sikorsky,russian
2024-01-17,Igor_Sikorsky,605,Igor Sikorsky,russian
2024-01-18,Igor_Sikorsky,668,Igor Sikorsky,russian
2024-01-19,Igor_Sikorsky,618,Igor Sikorsky,russian
2024-01-20,Igor_Sikorsky,551,Igor Sikorsky,russian
2024-01-21,Igor_Sikorsky,667,Igor Sikorsky,russian
2024-01-22,Igor_Sikorsky,672,Igor Sikorsky,russian
2024-01-23,Igor_Sikorsky,638,Igor Sikorsky,russian
2024-01-24,Igor_Sikorsky,729,Igor Sikorsky,russian
2024-01-25,Igor_Sikorsky,970,Igor Sikorsky,russian
2024-01-26,Igor_Sikorsky,774,Igor Sikorsky,russian
2024-01-27,Igor_Sikorsky,669,Igor Sikorsky,russian
2024-01-28,Igor_Sikorsky,566,Igor Sikorsky,russian
2024-01-29,Igor_Sikorsky,805,Igor Sikorsky,russian
2024-01-30,Igor_Sikorsky,1120,Igor Sikorsky,russian
2024-01-31,Igor_Sikorsky,772,Igor Sikorsky,russian
2024-02-01,Igor_Sikorsky,681,Igor Sikorsky,russian
2024-02-02,Igor_Sikorsky,775,Igor Sikorsky,russian
2024-02-03,Igor_Sikorsky,1193,Igor Sikorsky,russian
2024-02-04,Igor_Sikorsky,717,Igor Sikorsky,russian
2024-02-05,Igor_Sikorsky,716,Igor Sikorsky,russian
2024-02-06,Igor_Sikorsky,659,Igor Sikorsky,russian
2024-02-07,Igor_Sikorsky,1014,Igor Sikorsky,russian
2024-02-08,Igor_Sikorsky,1206,Igor Sikorsky,russian
2024-02-09,Igor_Sikorsky,855,Igor Sikorsky,russian
2024-02-10,Igor_Sikorsky,771,Igor Sikorsky,russian
2024-02-11,Igor_Sikorsky,737,Igor Sikorsky,russian
2024-02-12,Igor_Sikorsky,668,Igor Sikorsky,russian
2024-02-13,Igor_Sikorsky,730,Igor Sikorsky,russian
2024-02-14,Igor_Sikorsky,662,Igor Sikorsky,russian
2024-02-15,Igor_Sikorsky,607,Igor Sikorsky,russian
2024-02-16,Igor_Sikorsky,579,Igor Sikorsky,russian
2024-02-17,Igor_Sikorsky,553,Igor Sikorsky,russian
2024-02-18,Igor_Sikorsky,612,Igor Sikorsky,russian
2024-02-19,Igor_Sikorsky,715,Igor Sikorsky,russian
2024-02-20,Igor_Sikorsky,691,Igor Sikorsky,russian
2024-02-21,Igor_Sikorsky,654,Igor Sikorsky,russian
2024-02-22,Igor_Sikorsky,702,Igor Sikorsky,russian
2024-02-23,Igor_Sikorsky,760,Igor Sikorsky,russian
2024-02-24,Igor_Sikorsky,593,Igor Sikorsky,russian
2024-02-25,Igor_Sikorsky,687,Igor Sikorsky,russian
2024-02-26,Igor_Sikorsky,794,Igor Sikorsky,russian
2024-02-27,Igor_Sikorsky,623,Igor Sikorsky,russian
2024-02-28,Igor_Sikorsky,666,Igor Sikorsky,russian
2024-02-29,Igor_Sikorsky,956,Igor Sikorsky,russian
2024-03-01,Igor_Sikorsky,704,Igor Sikorsky,russian
2024-03-02,Igor_Sikorsky,608,Igor Sikorsky,russian
2024-03-03,Igor_Sikorsky,590,Igor Sikorsky,russian
2024-03-04,Igor_Sikorsky,530,Igor Sikorsky,russian
2024-03-05,Igor_Sikorsky,558,Igor Sikorsky,russian
2024-03-06,Igor_Sikorsky,718,Igor Sikorsky,russian
2024-03-07,Igor_Sikorsky,632,Igor Sikorsky,russian
2024-03-08,Igor_Sikorsky,550,Igor Sikorsky,russian
2024-03-09,Igor_Sikorsky,524,Igor Sikorsky,russian
2024-03-10,Igor_Sikorsky,549,Igor Sikorsky,russian
2024-03-11,Igor_Sikorsky,624,Igor Sikorsky,russian
2024-03-12,Igor_Sikorsky,615,Igor Sikorsky,russian
2024-03-13,Igor_Sikorsky,659,Igor Sikorsky,russian
