date,article,views,label,variant
2024-01-01,Sergei_Korolev,697,Sergei Korolev,russian
2024-01-02,Sergei_Korolev,809,Sergei Korolev,russian
2024-01-03,Sergei_Korolev,776,Sergei Korolev,russian
2024-01-04,Sergei_Korolev,642,Sergei Korolev,russian
2024-01-05,Sergei_Korolev,739,Sergei Korolev,russian
2024-01-06,Sergei_Korolev,764,Sergei Korolev,russian
2024-01-07,Sergei_Korolev,721,Sergei Korolev,russian
2024-01-08,Sergei_Korolev,816,Sergei Korolev,russian
2024-01-09,Sergei_Korolev,1037,Sergei Korolev,russian
2024-01-10,Sergei_Korolev,768,Sergei Korolev,russian
2024-01-11,Sergei_Korolev,779,Sergei Korolev,russian
2024-01-12,Sergei_Korolev,1391,Sergei Korolev,russian
2024-01-13,Sergei_Korolev,1223,Sergei Korolev,russian
2024-01-14,Sergei_Korolev,1044,Sergei Korolev,russian
2024-01-15,Sergei_Korolev,901,Sergei Korolev,russian
2024-01-16,Sergei_Korolev,817,Sergei Korolev,russian
2024-01-17,Sergei_Korolev,749,Sergei Korolev,russian
2024-01-18,Sergei_Korolev,723,Sergei Korolev,russian
2024-01-19,Sergei_Korolev,818,Sergei Korolev,russian
2024-01-20,Sergei_Korolev,837,Sergei Korolev,russian
2024-01-21,Sergei_Korolev,754,Sergei Korolev,russian
2024-01-22,Sergei_Korolev,762,Sergei Korolev,russian
2024-01-23,Sergei_Korolev,780,Sergei Korolev,russian
2024-01-24,Sergei_Korolev,622,Sergei Korolev,russian
2024-01-25,Sergei_Korolev,822,Sergei Korolev,russian
2024-01-26,Sergei_Korolev,723,Sergei Korolev,russian
2024-01-27,Sergei_Korolev,596,Sergei Korolev,russian
2024-01-28,Sergei_Korolev,636,Sergei Korolev,russian
2024-01-29,Sergei_Korolev,704,Sergei Korolev,russian
2024-01-30,Sergei_Korolev,737,Sergei Korolev,russian
2024-01-31,Sergei_Korolev,742,Sergei Korolev,russian
2024-02-01,Sergei_Korolev,672,Sergei Korolev,russian
2024-02-02,Sergei_Korolev,587,Sergei Korolev,russian
2024-02-03,Sergei_Korolev,653,Sergei Korolev,russian
2024-02-04,Sergei_Korolev,775,Sergei Korolev,russian
2024-02-05,Sergei_Korolev,706,Sergei Korolev,russian
2024-02-06,Sergei_Korolev,663,Sergei Korolev,russian
2024-02-07,Sergei_Korolev,701,Sergei Korolev,russian
2024-02-08,Sergei_Korolev,575,Sergei Korolev,russian
2024-02-09,Sergei_Korolev,566,Sergei Korolev,russian
2024-02-10,Sergei_Korolev,627,Sergei Korolev,russian
2024-02-11,Sergei_Korolev,671,Sergei Korolev,russian
2024-02-12,Sergei_Korolev,633,Sergei Korolev,russian
2024-02-13,Sergei_Korolev,681,Sergei Korolev,russian
2024-02-14,Sergei_Korolev,633,Sergei Korolev,russian
2024-02-15,Sergei_Korolev,588,Sergei Korolev,russian
2024-02-16,Sergei_Korolev,721,Sergei Korolev,russian
2024-02-17,Sergei_Korolev,595,Sergei Korolev,russian
2024-02-18,Sergei_Korolev,662,Sergei Korolev,russian
2024-02-19,Sergei_Korolev,685,Sergei Korolev,russian
2024-02-20,Sergei_Korolev,684,Sergei Korolev,russian
2024-02-21,Sergei_Korolev,664,Sergei Korolev,russian
2024-02-22,Sergei_Korolev,669,Sergei Korolev,russian
2024-02-23,Sergei_Korolev,664,Sergei Korolev,russian
2024-02-24,Sergei_Korolev,560,Sergei Korolev,russian
2024-02-25,Sergei_Korolev,606,Sergei Korolev,russian
2024-02-26,Sergei_Korolev,648,Sergei Korolev,russian
2024-02-27,Sergei_Korolev,649,Sergei Korolev,russian
2024-02-28,Sergei_Korolev,572,Sergei Korolev,russian
2024-02-29,Sergei_Korolev,543,Sergei Korolev,russian
2024-03-01,Sergei_Korolev,529,Sergei Korolev,russian
2024-03-02,Sergei_Korolev,547,Sergei Korolev,russian
2024-03-03,Sergei_Korolev,535,Sergei Korolev,russian
2024-03-04,Sergei_Korolev,589,Sergei Korolev,russian
2024-03-05,Sergei_Korolev,526,Sergei Korolev,russian
2024-03-06,Sergei_Korolev,554,Sergei Korolev,russian
2024-03-07,Sergei_Korolev,526,Sergei Korolev,russian
