date,article,views,label,variant,pair_id
2015-07-01,Sviatohirsk_Lavra,143,Sviatohirsk Lavra,russian,89
2015-08-01,Sviatohirsk_Lavra,113,Sviatohirsk Lavra,russian,89
2015-09-01,Sviatohirsk_Lavra,145,Sviatohirsk Lavra,russian,89
2015-10-01,Sviatohirsk_Lavra,124,Sviatohirsk Lavra,russian,89
2015-11-01,Sviatohirsk_Lavra,101,Sviatohirsk Lavra,russian,89
2015-12-01,Sviatohirsk_Lavra,133,Sviatohirsk Lavra,russian,89
2016-01-01,Sviatohirsk_Lavra,122,Sviatohirsk Lavra,russian,89
2016-02-01,Sviatohirsk_Lavra,131,Sviatohirsk Lavra,russian,89
2016-03-01,Sviatohirsk_Lavra,132,Sviatohirsk Lavra,russian,89
2016-04-01,Sviatohirsk_Lavra,129,Sviatohirsk Lavra,russian,89
2016-05-01,Sviatohirsk_Lavra,122,Sviatohirsk Lavra,russian,89
2016-06-01,Sviatohirsk_Lavra,109,Sviatohirsk Lavra,russian,89
2016-07-01,Sviatohirsk_Lavra,107,Sviatohirsk Lavra,russian,89
2016-08-01,Sviatohirsk_Lavra,117,Sviatohirsk Lavra,russian,89
2016-09-01,Sviatohirsk_Lavra,131,Sviatohirsk Lavra,russian,89
2016-10-01,Sviatohirsk_Lavra,142,Sviatohirsk Lavra,russian,89
2016-11-01,Sviatohirsk_Lavra,139,Sviatohirsk Lavra,russian,89
2016-12-01,Sviatohirsk_Lavra,127,Sviatohirsk Lavra,russian,89
2017-01-01,Sviatohirsk_Lavra,102,Sviatohirsk Lavra,russian,89
2017-02-01,Sviatohirsk_Lavra,114,Sviatohirsk Lavra,russian,89
2017-03-01,Sviatohirsk_Lavra,138,Sviatohirsk Lavra,russian,89
2017-04-01,Sviatohirsk_Lavra,107,Sviatohirsk Lavra,russian,89
2017-05-01,Sviatohirsk_Lavra,98,Sviatohirsk Lavra,russian,89
2017-06-01,Sviatohirsk_Lavra,219,Sviatohirsk Lavra,russian,89
2017-07-01,Sviatohirsk_Lavra,319,Sviatohirsk Lavra,russian,89
2017-08-01,Sviatohirsk_Lavra,256,Sviatohirsk Lavra,russian,89
2017-09-01,Sviatohirsk_Lavra,340,Sviatohirsk Lavra,russian,89
2017-10-01,Sviatohirsk_Lavra,253,Sviatohirsk Lavra,russian,89
2017-11-01,Sviatohirsk_Lavra,272,Sviatohirsk Lavra,russian,89
2017-12-01,Sviatohirsk_Lavra,273,Sviatohirsk Lavra,russian,89
2018-01-01,Sviatohirsk_Lavra,387,Sviatohirsk Lavra,russian,89
2018-02-01,Sviatohirsk_Lavra,290,Sviatohirsk Lavra,russian,89
2018-03-01,Sviatohirsk_Lavra,333,Sviatohirsk Lavra,russian,89
2018-04-01,Sviatohirsk_Lavra,261,Sviatohirsk Lavra,russian,89
2018-05-01,Sviatohirsk_Lavra,346,Sviatohirsk Lavra,russian,89
2018-06-01,Sviatohirsk_Lavra,302,Sviatohirsk Lavra,russian,89
2018-07-01,Sviatohirsk_Lavra,302,Sviatohirsk Lavra,russian,89
2018-08-01,Sviatohirsk_Lavra,290,Sviatohirsk Lavra,russian,89
2018-09-01,Sviatohirsk_Lavra,277,Sviatohirsk Lavra,russian,89
2018-10-01,Sviatohirsk_Lavra,580,Sviatohirsk Lavra,russian,89
2018-11-01,Sviatohirsk_Lavra,330,Sviatohirsk Lavra,russian,89
2018-12-01,Sviatohirsk_Lavra,393,Sviatohirsk Lavra,russian,89
2019-01-01,Sviatohirsk_Lavra,413,Sviatohirsk Lavra,russian,89
2019-02-01,Sviatohirsk_Lavra,344,Sviatohirsk Lavra,russian,89
2019-03-01,Sviatohirsk_Lavra,390,Sviatohirsk Lavra,russian,89
2019-04-01,Sviatohirsk_Lavra,344,Sviatohirsk Lavra,russian,89
2019-05-01,Sviatohirsk_Lavra,317,Sviatohirsk Lavra,russian,89
2019-06-01,Sviatohirsk_Lavra,341,Sviatohirsk Lavra,russian,89
2019-07-01,Sviatohirsk_Lavra,367,Sviatohirsk Lavra,russian,89
2019-08-01,Sviatohirsk_Lavra,367,Sviatohirsk Lavra,russian,89
2019-09-01,Sviatohirsk_Lavra,371,Sviatohirsk Lavra,russian,89
2019-10-01,Sviatohirsk_Lavra,383,Sviatohirsk Lavra,russian,89
2019-11-01,Sviatohirsk_Lavra,373,Sviatohirsk Lavra,russian,89
2019-12-01,Sviatohirsk_Lavra,538,Sviatohirsk Lavra,russian,89
2020-01-01,Sviatohirsk_Lavra,627,Sviatohirsk Lavra,russian,89
2020-02-01,Sviatohirsk_Lavra,404,Sviatohirsk Lavra,russian,89
2020-03-01,Sviatohirsk_Lavra,361,Sviatohirsk Lavra,russian,89
2020-04-01,Sviatohirsk_Lavra,952,Sviatohirsk Lavra,russian,89
2020-05-01,Sviatohirsk_Lavra,612,Sviatohirsk Lavra,russian,89
2020-06-01,Sviatohirsk_Lavra,456,Sviatohirsk Lavra,russian,89
2020-07-01,Sviatohirsk_Lavra,478,Sviatohirsk Lavra,russian,89
2020-08-01,Sviatohirsk_Lavra,424,Sviatohirsk Lavra,russian,89
2020-09-01,Sviatohirsk_Lavra,424,Sviatohirsk Lavra,russian,89
2020-10-01,Sviatohirsk_Lavra,524,Sviatohirsk Lavra,russian,89
2020-11-01,Sviatohirsk_Lavra,503,Sviatohirsk Lavra,russian,89
2020-12-01,Sviatohirsk_Lavra,787,Sviatohirsk Lavra,russian,89
2021-01-01,Sviatohirsk_Lavra,760,Sviatohirsk Lavra,russian,89
2021-02-01,Sviatohirsk_Lavra,499,Sviatohirsk Lavra,russian,89
2021-03-01,Sviatohirsk_Lavra,496,Sviatohirsk Lavra,russian,89
2021-04-01,Sviatohirsk_Lavra,730,Sviatohirsk Lavra,russian,89
2021-05-01,Sviatohirsk_Lavra,542,Sviatohirsk Lavra,russian,89
2021-06-01,Sviatohirsk_Lavra,435,Sviatohirsk Lavra,russian,89
2021-07-01,Sviatohirsk_Lavra,427,Sviatohirsk Lavra,russian,89
2021-08-01,Sviatohirsk_Lavra,481,Sviatohirsk Lavra,russian,89
2021-09-01,Sviatohirsk_Lavra,444,Sviatohirsk Lavra,russian,89
2021-10-01,Sviatohirsk_Lavra,571,Sviatohirsk Lavra,russian,89
2021-11-01,Sviatohirsk_Lavra,486,Sviatohirsk Lavra,russian,89
2021-12-01,Sviatohirsk_Lavra,746,Sviatohirsk Lavra,russian,89
2022-01-01,Sviatohirsk_Lavra,748,Sviatohirsk Lavra,russian,89
2022-02-01,Sviatohirsk_Lavra,1242,Sviatohirsk Lavra,russian,89
2022-03-01,Sviatohirsk_Lavra,9706,Sviatohirsk Lavra,russian,89
2022-04-01,Sviatohirsk_Lavra,2899,Sviatohirsk Lavra,russian,89
2022-05-01,Sviatohirsk_Lavra,4646,Sviatohirsk Lavra,russian,89
2022-06-01,Sviatohirsk_Lavra,27167,Sviatohirsk Lavra,russian,89
2022-07-01,Sviatohirsk_Lavra,3516,Sviatohirsk Lavra,russian,89
2022-08-01,Sviatohirsk_Lavra,2928,Sviatohirsk Lavra,russian,89
2022-09-01,Sviatohirsk_Lavra,6411,Sviatohirsk Lavra,russian,89
2022-10-01,Sviatohirsk_Lavra,4878,Sviatohirsk Lavra,russian,89
2022-11-01,Sviatohirsk_Lavra,1447,Sviatohirsk Lavra,russian,89
2022-12-01,Sviatohirsk_Lavra,1768,Sviatohirsk Lavra,russian,89
2023-01-01,Sviatohirsk_Lavra,1509,Sviatohirsk Lavra,russian,89
2023-02-01,Sviatohirsk_Lavra,994,Sviatohirsk Lavra,russian,89
2023-03-01,Sviatohirsk_Lavra,1451,Sviatohirsk Lavra,russian,89
2023-04-01,Sviatohirsk_Lavra,1090,Sviatohirsk Lavra,russian,89
2023-05-01,Sviatohirsk_Lavra,1140,Sviatohirsk Lavra,russian,89
2023-06-01,Sviatohirsk_Lavra,1770,Sviatohirsk Lavra,russian,89
2023-07-01,Sviatohirsk_Lavra,978,Sviatohirsk Lavra,russian,89
