date,article,views,label,variant
2024-01-01,Sviatohirsk_Lavra,34,Sviatohirsk Lavra,russian
2024-01-02,Sviatohirsk_Lavra,33,Sviatohirsk Lavra,russian
2024-01-03,Sviatohirsk_Lavra,40,Sviatohirsk Lavra,russian
2024-01-04,Sviatohirsk_Lavra,23,Sviatohirsk Lavra,russian
2024-01-05,Sviatohirsk_Lavra,38,Sviatohirsk Lavra,russian
2024-01-06,Sviatohirsk_Lavra,39,Sviatohirsk Lavra,russian
2024-01-07,Sviatohirsk_Lavra,27,Sviatohirsk Lavra,russian
2024-01-08,Sviatohirsk_Lavra,30,Sviatohirsk Lavra,russian
2024-01-09,Sviatohirsk_Lavra,36,Sviatohirsk Lavra,russian
2024-01-10,Sviatohirsk_Lavra,31,Sviatohirsk Lavra,russian
2024-01-11,Sviatohirsk_Lavra,54,Sviatohirsk Lavra,russian
2024-01-12,Sviatohirsk_Lavra,29,Sviatohirsk Lavra,russian
2024-01-13,Sviatohirsk_Lavra,26,Sviatohirsk Lavra,russian
2024-01-14,Sviatohirsk_Lavra,28,Sviatohirsk Lavra,russian
2024-01-15,Sviatohirsk_Lavra,21,Sviatohirsk Lavra,russian
2024-01-16,Sviatohirsk_Lavra,36,Sviatohirsk Lavra,russian
2024-01-17,Sviatohirsk_Lavra,16,Sviatohirsk Lavra,russian
2024-01-18,Sviatohirsk_Lavra,48,Sviatohirsk Lavra,russian
2024-01-19,Sviatohirsk_Lavra,22,Sviatohirsk Lavra,russian
2024-01-20,Sviatohirsk_Lavra,20,Sviatohirsk Lavra,russian
2024-01-21,Sviatohirsk_Lavra,23,Sviatohirsk Lavra,russian
2024-01-22,Sviatohirsk_Lavra,43,Sviatohirsk Lavra,russian
2024-01-23,Sviatohirsk_Lavra,25,Sviatohirsk Lavra,russian
2024-01-24,Sviatohirsk_Lavra,45,Sviatohirsk Lavra,russian
2024-01-25,Sviatohirsk_Lavra,17,Sviatohirsk Lavra,russian
2024-01-26,Sviatohirsk_Lavra,30,Sviatohirsk Lavra,russian
2024-01-27,Sviatohirsk_Lavra,17,Sviatohirsk Lavra,russian
2024-01-28,Sviatohirsk_Lavra,36,Sviatohirsk Lavra,russian
2024-01-29,Sviatohirsk_Lavra,31,Sviatohirsk Lavra,russian
2024-01-30,Sviatohirsk_Lavra,29,Sviatohirsk Lavra,russian
2024-01-31,Sviatohirsk_Lavra,23,Sviatohirsk Lavra,russian
2024-02-01,Sviatohirsk_Lavra,22,Sviatohirsk Lavra,russian
2024-02-02,Sviatohirsk_Lavra,39,Sviatohirsk Lavra,russian
