pair_id,variant,term,year,search_results,title_matches,source
39,russian,Chernovtsy,2010,50,8,youtube_invidious
39,ukrainian,Chernivtsi,2010,50,36,youtube_invidious
39,russian,Chernovtsy,2011,50,7,youtube_invidious
39,ukrainian,Chernivtsi,2011,50,44,youtube_invidious
39,russian,Chernovtsy,2012,50,6,youtube_invidious
39,ukrainian,Chernivtsi,2012,50,45,youtube_invidious
39,russian,Chernovtsy,2013,50,10,youtube_invidious
39,ukrainian,Chernivtsi,2013,50,47,youtube_invidious
39,russian,Chernovtsy,2014,50,12,youtube_invidious
39,ukrainian,Chernivtsi,2014,50,44,youtube_invidious
39,russian,Chernovtsy,2015,50,4,youtube_invidious
39,ukrainian,Chernivtsi,2015,50,44,youtube_invidious
39,russian,Chernovtsy,2016,50,6,youtube_invidious
39,ukrainian,Chernivtsi,2016,50,48,youtube_invidious
39,russian,Chernovtsy,2017,50,1,youtube_invidious
39,ukrainian,Chernivtsi,2017,50,50,youtube_invidious
39,russian,Chernovtsy,2018,50,1,youtube_invidious
39,ukrainian,Chernivtsi,2018,50,48,youtube_invidious
39,russian,Chernovtsy,2019,50,1,youtube_invidious
39,ukrainian,Chernivtsi,2019,50,49,youtube_invidious
39,russian,Chernovtsy,2020,50,1,youtube_invidious
39,ukrainian,Chernivtsi,2020,50,46,youtube_invidious
39,russian,Chernovtsy,2021,50,0,youtube_invidious
39,ukrainian,Chernivtsi,2021,50,50,youtube_invidious
39,russian,Chernovtsy,2022,50,0,youtube_invidious
39,ukrainian,Chernivtsi,2022,50,49,youtube_invidious
39,russian,Chernovtsy,2023,50,1,youtube_invidious
39,ukrainian,Chernivtsi,2023,50,47,youtube_invidious
39,russian,Chernovtsy,2024,50,0,youtube_invidious
39,ukrainian,Chernivtsi,2024,50,45,youtube_invidious
39,russian,Chernovtsy,2025,50,1,youtube_invidious
39,ukrainian,Chernivtsi,2025,50,35,youtube_invidious
39,russian,Chernovtsy,2026,50,0,youtube_invidious
39,ukrainian,Chernivtsi,2026,50,20,youtube_invidious
